,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Carolina,29.0,29.0,32.0,26.0,32.0,38.1,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
1,2,Baltimore,32.0,32.0,33.0,33.0,31.0,45.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
2,2,Seattle,32.0,32.0,33.0,31.0,33.0,33.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
3,4,Chicago,32.5,32.5,31.0,34.0,31.0,38.9,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
4,5,New Orleans,33.5,33.5,36.0,36.0,31.0,35.7,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
5,6,Pittsburgh,34.5,34.5,33.0,33.0,36.0,40.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
6,6,Detroit,34.5,34.5,32.0,34.5,0,39.9,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
7,8,Tampa Bay,35.0,35.0,30.0,0,35.0,38.4,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
8,9,New England,35.5,35.5,34.0,0,35.5,40.8,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
9,10,Las Vegas,36.0,36.0,35.0,35.0,37.0,38.4,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
10,10,Minnesota,36.0,36.0,28.0,44.0,28.0,40.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
11,12,Dallas,38.5,38.5,41.0,38.5,0,40.8,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
12,13,Kansas City,39.0,39.0,33.0,33.0,45.0,39.5,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
13,14,Miami,39.5,39.5,41.0,38.0,41.0,40.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
14,14,Tennessee,39.5,39.5,38.0,41.0,38.0,45.1,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
15,16,LA Rams,40.0,40.0,35.0,40.0,0,38.3,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
16,17,Green Bay,40.5,40.5,44.0,44.0,37.0,39.0,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
17,18,Houston,41.0,41.0,34.0,48.0,34.0,37.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
18,18,Arizona,41.0,41.0,42.0,40.0,42.0,41.4,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
19,20,Indianapolis,41.5,41.5,30.0,0,41.5,39.4,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
20,21,Cleveland,42.0,42.0,45.0,45.0,39.0,38.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
21,22,Denver,42.5,42.5,40.0,40.0,45.0,36.1,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
22,22,Buffalo,42.5,42.5,43.0,43.0,42.0,40.5,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
23,24,Washington,43.0,43.0,44.0,42.0,44.0,39.8,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
24,25,Atlanta,43.5,43.5,37.0,50.0,37.0,34.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
25,25,NY Jets,43.5,43.5,39.0,48.0,39.0,36.9,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
26,27,Jacksonville,45.0,45.0,52.0,52.0,38.0,35.1,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
27,28,NY Giants,45.5,45.5,45.0,45.0,46.0,36.2,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
28,29,LA Chargers,46.5,46.5,43.0,50.0,43.0,39.5,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
29,30,Cincinnati,49.0,49.0,40.0,58.0,40.0,37.6,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
30,31,San Francisco,50.0,50.0,53.0,53.0,47.0,36.2,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
31,32,Philadelphia,52.0,52.0,56.0,56.0,48.0,38.7,2022-09-20,/nfl/stat/opponent-solo-tackles-per-game
