,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Las Vegas,18.18%,0.00%,0.00%,25.00%,14.29%,35.48%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
1,2,Arizona,20.00%,25.00%,100.00%,20.00%,20.00%,12.90%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
2,3,Chicago,24.00%,0.00%,0.00%,20.00%,25.00%,36.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
3,4,Dallas,25.00%,0.00%,0.00%,50.00%,0.00%,32.14%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
4,4,Washington,25.00%,33.33%,0,33.33%,16.67%,36.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
5,4,Houston,25.00%,40.00%,33.33%,50.00%,20.00%,38.89%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
6,7,Minnesota,30.00%,25.00%,0,50.00%,0.00%,28.57%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
7,8,Pittsburgh,33.33%,0.00%,0,16.67%,50.00%,47.62%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
8,8,Denver,33.33%,28.57%,100.00%,0.00%,54.55%,75.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
9,10,Carolina,35.29%,50.00%,50.00%,18.18%,66.67%,40.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
10,11,Indianapolis,35.71%,42.86%,33.33%,50.00%,21.43%,52.38%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
11,12,Green Bay,38.10%,50.00%,0,45.45%,30.00%,35.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
12,13,NY Jets,38.46%,20.00%,0.00%,44.44%,25.00%,50.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
13,14,Kansas City,43.75%,66.67%,100.00%,60.00%,36.36%,46.43%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
14,14,Philadelphia,43.75%,66.67%,50.00%,50.00%,37.50%,28.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
15,16,Miami,44.44%,33.33%,100.00%,33.33%,66.67%,41.38%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
16,17,Baltimore,45.45%,50.00%,66.67%,33.33%,50.00%,38.10%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
17,18,Atlanta,50.00%,100.00%,0,60.00%,33.33%,45.83%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
18,18,Detroit,50.00%,33.33%,50.00%,50.00%,50.00%,52.94%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
19,18,San Francisco,50.00%,100.00%,0,40.00%,55.56%,43.48%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
20,18,New England,50.00%,25.00%,0.00%,37.50%,66.67%,50.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
21,18,Buffalo,50.00%,66.67%,0.00%,75.00%,41.67%,24.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
22,18,LA Chargers,50.00%,33.33%,0.00%,60.00%,40.00%,70.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
23,18,Cincinnati,50.00%,0.00%,0,33.33%,60.00%,38.89%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
24,25,Tennessee,54.55%,33.33%,0.00%,42.86%,75.00%,44.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
25,25,NY Giants,54.55%,50.00%,0.00%,75.00%,42.86%,43.48%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
26,25,LA Rams,54.55%,50.00%,0,66.67%,40.00%,56.25%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
27,28,New Orleans,56.25%,50.00%,100.00%,50.00%,60.00%,35.71%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
28,29,Jacksonville,61.54%,66.67%,50.00%,75.00%,55.56%,57.14%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
29,30,Seattle,64.29%,66.67%,100.00%,57.14%,71.43%,35.29%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
30,31,Cleveland,66.67%,66.67%,0,75.00%,62.50%,40.00%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
31,31,Tampa Bay,66.67%,0,0,83.33%,33.33%,61.54%,2022-11-29,/nfl/stat/opponent-takeaway-fumble-recovery-pct
