,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Green Bay,26.56%,30.30%,9.09%,17.24%,34.29%,42.52%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
1,2,Tennessee,27.12%,25.00%,9.09%,13.64%,35.14%,37.33%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
2,3,Washington,31.71%,33.33%,38.46%,29.27%,34.15%,48.47%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
3,4,NY Giants,32.39%,37.14%,40.00%,32.00%,33.33%,39.82%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
4,5,New Orleans,33.77%,36.36%,60.00%,33.33%,34.15%,37.08%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
5,5,Indianapolis,33.77%,32.43%,50.00%,40.63%,28.89%,40.48%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
6,7,Minnesota,34.72%,35.29%,28.57%,28.57%,40.54%,36.45%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
7,8,Dallas,35.23%,36.96%,42.86%,34.78%,35.71%,34.75%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
8,9,San Francisco,35.71%,38.64%,64.29%,31.82%,37.10%,41.29%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
9,10,Cincinnati,35.80%,39.47%,47.06%,24.00%,41.07%,41.24%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
10,11,Denver,36.05%,42.31%,50.00%,17.95%,51.06%,44.89%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
11,12,Baltimore,37.68%,42.86%,50.00%,46.88%,29.73%,34.83%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
12,13,Kansas City,38.16%,45.45%,36.36%,35.90%,40.54%,41.56%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
13,14,Cleveland,38.24%,39.39%,50.00%,39.58%,35.00%,39.27%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
14,15,Buffalo,38.89%,38.46%,36.36%,33.33%,42.22%,33.61%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
15,16,LA Chargers,39.19%,33.33%,28.57%,42.50%,35.29%,49.54%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
16,17,Las Vegas,40.00%,45.45%,58.33%,25.00%,50.00%,39.67%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
17,17,LA Rams,40.00%,32.43%,20.00%,42.22%,36.67%,37.55%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
18,19,Arizona,40.63%,32.43%,28.57%,48.28%,34.29%,38.64%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
19,20,New England,40.74%,34.15%,26.67%,39.13%,41.38%,38.07%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
20,21,Houston,40.85%,45.45%,42.86%,45.16%,37.50%,43.20%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
21,22,Tampa Bay,42.70%,54.35%,46.67%,52.17%,32.56%,38.25%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
22,23,Carolina,43.18%,48.72%,50.00%,44.83%,40.00%,37.79%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
23,24,Jacksonville,43.42%,44.19%,66.67%,30.43%,49.06%,42.99%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
24,25,NY Jets,43.59%,35.90%,25.00%,42.11%,45.00%,44.39%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
25,26,Pittsburgh,43.68%,39.47%,28.57%,41.30%,46.34%,38.52%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
26,27,Miami,44.00%,39.47%,16.67%,43.59%,44.44%,41.13%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
27,28,Seattle,44.16%,40.00%,25.00%,42.11%,46.15%,39.29%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
28,29,Philadelphia,44.59%,45.16%,40.00%,34.48%,51.11%,42.17%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
29,30,Atlanta,46.15%,44.74%,37.50%,34.29%,55.81%,48.39%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
30,30,Chicago,46.15%,50.00%,18.18%,32.50%,60.53%,38.39%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
31,32,Detroit,50.00%,46.67%,33.33%,59.09%,27.78%,45.10%,2022-10-18,/nfl/stat/opponent-third-down-conversion-pct
