,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,1.9,1.3,0.0,0.8,2.7,2.1,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
1,2,New England,2.0,1.3,1.0,2.0,2.0,2.6,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
2,3,Tennessee,2.1,1.0,0.0,2.3,2.0,2.6,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
3,4,Philadelphia,2.2,3.7,5.0,1.8,2.6,2.8,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
4,5,San Francisco,2.4,2.3,3.0,2.8,2.2,2.4,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
5,5,NY Jets,2.4,1.7,0.0,3.0,1.8,3.4,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
6,5,Kansas City,2.4,2.7,4.0,3.0,1.8,3.0,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
7,8,Washington,2.5,2.0,0.0,2.6,2.3,3.1,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
8,9,Jacksonville,2.7,2.7,3.0,2.0,3.2,3.5,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
9,9,Tampa Bay,2.7,3.0,0.0,3.8,1.6,2.9,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
10,11,Carolina,2.8,2.7,2.0,1.8,4.0,3.5,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
11,11,Green Bay,2.8,0.7,0.0,2.0,3.5,2.4,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
12,13,Cincinnati,2.9,1.0,0.0,3.0,2.8,2.9,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
13,13,Seattle,2.9,2.0,1.0,2.8,3.0,2.3,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
14,15,Las Vegas,3.0,2.7,3.0,2.3,3.5,3.5,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
15,16,Chicago,3.1,4.3,4.0,3.0,3.2,2.2,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
16,17,Minnesota,3.1,4.7,6.0,3.0,3.2,3.6,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
17,18,Dallas,3.2,3.0,2.0,3.4,3.0,3.2,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
18,18,Miami,3.2,3.3,1.0,1.2,5.2,3.8,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
19,18,Denver,3.2,2.0,2.0,3.2,3.2,3.2,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
20,21,LA Rams,3.3,3.7,5.0,3.5,3.0,2.6,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
21,21,Baltimore,3.3,2.0,2.0,3.6,3.0,3.0,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
22,23,Pittsburgh,3.4,2.3,1.0,2.6,4.2,3.1,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
23,23,NY Giants,3.4,2.7,3.0,3.8,2.8,3.5,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
24,25,Cleveland,3.5,4.3,7.0,2.2,4.8,2.4,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
25,26,Indianapolis,3.6,4.0,4.0,3.4,3.8,2.4,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
26,27,LA Chargers,3.7,4.0,5.0,4.4,3.0,3.1,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
27,28,New Orleans,3.7,3.0,4.0,3.2,4.4,2.4,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
28,28,Arizona,3.7,3.7,7.0,4.0,3.5,2.9,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
29,30,Detroit,3.8,1.7,1.0,4.2,3.4,3.7,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
30,31,Atlanta,4.0,3.0,2.0,3.8,4.2,2.9,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
31,31,Houston,4.0,5.0,6.0,4.4,3.6,3.1,2022-11-23,/nfl/stat/opponent-touchbacks-per-game
