,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Denver,1.5,2.0,2.0,0.8,2.0,2.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
1,2,Dallas,1.6,2.0,2.0,1.5,1.8,2.3,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
2,3,San Francisco,1.8,0.7,0.0,1.6,2.0,2.4,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
3,4,NY Jets,1.9,1.3,1.0,2.0,1.8,3.4,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
4,4,New England,1.9,1.3,4.0,1.6,2.2,2.3,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
5,4,Cincinnati,1.9,2.3,1.0,2.0,1.9,2.5,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
6,7,Tennessee,2.1,1.7,2.0,1.8,2.3,2.2,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
7,7,Buffalo,2.1,3.3,3.0,1.8,2.3,2.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
8,7,NY Giants,2.1,3.0,4.0,1.7,2.6,2.6,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
9,10,Washington,2.2,1.7,1.0,2.3,2.0,3.0,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
10,10,Indianapolis,2.2,2.3,2.0,2.5,1.8,2.5,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
11,12,Tampa Bay,2.2,2.0,3.0,2.6,1.8,2.3,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
12,13,Baltimore,2.3,1.3,3.0,2.4,2.2,2.8,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
13,13,Philadelphia,2.3,2.7,4.0,2.3,2.2,2.8,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
14,15,LA Rams,2.4,2.7,2.0,2.8,1.8,2.3,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
15,16,New Orleans,2.4,1.7,1.0,2.5,2.3,2.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
16,17,Jacksonville,2.5,2.7,2.0,1.4,3.3,3.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
17,18,Carolina,2.5,1.3,1.0,2.1,3.0,2.6,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
18,19,Houston,2.5,2.7,3.0,2.8,2.3,3.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
19,19,Kansas City,2.5,2.0,1.0,2.3,2.8,2.7,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
20,19,Minnesota,2.5,3.0,2.0,2.5,2.6,2.7,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
21,22,Pittsburgh,2.7,2.3,2.0,2.2,3.2,2.7,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
22,23,Atlanta,2.8,2.3,2.0,2.7,2.8,3.2,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
23,23,Green Bay,2.8,4.3,5.0,3.0,2.6,2.6,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
24,25,Miami,2.8,2.7,2.0,1.8,4.0,2.4,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
25,25,LA Chargers,2.8,2.7,3.0,2.8,2.8,3.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
26,27,Cleveland,2.9,3.0,2.0,3.0,2.8,2.5,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
27,28,Las Vegas,3.0,2.7,4.0,3.0,3.0,2.9,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
28,29,Seattle,3.1,3.7,5.0,2.2,3.8,2.4,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
29,30,Chicago,3.2,3.7,4.0,2.6,3.6,2.8,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
30,30,Arizona,3.2,3.3,3.0,3.5,2.8,2.6,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
31,32,Detroit,3.5,3.3,3.0,3.8,3.2,3.1,2022-11-29,/nfl/stat/opponent-touchdowns-per-game
