,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,8.7,9.2,6.7,8.9,8.6,9.1,2023-01-11,/nfl/stat/opponent-yards-per-completion
1,2,Denver,9.1,10.3,9.8,9.7,8.7,10.7,2023-01-11,/nfl/stat/opponent-yards-per-completion
2,3,Kansas City,9.2,7.8,8.2,9.2,9.2,10.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
3,4,NY Jets,9.3,8.7,7.0,10.2,8.5,11.0,2023-01-11,/nfl/stat/opponent-yards-per-completion
4,5,Arizona,9.5,8.9,9.5,10.0,8.8,10.2,2023-01-11,/nfl/stat/opponent-yards-per-completion
5,6,Buffalo,9.5,9.5,9.0,9.8,9.2,9.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
6,7,Tampa Bay,9.5,11.0,10.9,9.6,9.4,9.4,2023-01-11,/nfl/stat/opponent-yards-per-completion
7,8,Miami,9.6,8.8,8.3,8.3,10.8,10.4,2023-01-11,/nfl/stat/opponent-yards-per-completion
8,9,New Orleans,9.7,10.6,6.4,9.9,9.6,10.4,2023-01-11,/nfl/stat/opponent-yards-per-completion
9,10,San Francisco,9.7,12.2,9.7,10.0,9.4,9.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
10,11,Indianapolis,9.8,10.3,12.5,9.7,9.8,10.2,2023-01-11,/nfl/stat/opponent-yards-per-completion
11,12,Dallas,9.9,13.3,14.4,9.5,10.4,11.1,2023-01-11,/nfl/stat/opponent-yards-per-completion
12,13,Baltimore,10.0,9.1,8.1,10.2,9.9,11.9,2023-01-11,/nfl/stat/opponent-yards-per-completion
13,14,Carolina,10.1,12.3,10.7,10.1,10.0,9.7,2023-01-11,/nfl/stat/opponent-yards-per-completion
14,15,New England,10.1,10.3,12.5,9.3,10.7,10.3,2023-01-11,/nfl/stat/opponent-yards-per-completion
15,16,LA Rams,10.2,10.7,10.8,10.6,9.9,9.9,2023-01-11,/nfl/stat/opponent-yards-per-completion
16,17,Las Vegas,10.3,10.7,10.1,10.6,10.2,9.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
17,18,NY Giants,10.4,8.5,10.4,10.2,10.7,9.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
18,19,Seattle,10.5,10.5,9.5,10.3,10.7,10.2,2023-01-11,/nfl/stat/opponent-yards-per-completion
19,20,Jacksonville,10.5,8.1,8.3,10.7,10.4,10.3,2023-01-11,/nfl/stat/opponent-yards-per-completion
20,21,Washington,10.6,12.9,8.4,10.6,10.5,10.8,2023-01-11,/nfl/stat/opponent-yards-per-completion
21,22,Houston,10.6,7.8,8.8,10.2,11.0,11.3,2023-01-11,/nfl/stat/opponent-yards-per-completion
22,23,Cleveland,10.6,10.9,14.5,9.8,11.6,9.4,2023-01-11,/nfl/stat/opponent-yards-per-completion
23,24,Atlanta,10.6,8.4,6.2,10.0,11.3,10.1,2023-01-11,/nfl/stat/opponent-yards-per-completion
24,25,Tennessee,10.6,10.0,10.2,10.3,10.9,10.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
25,26,Green Bay,10.7,12.4,9.5,9.9,11.3,9.8,2023-01-11,/nfl/stat/opponent-yards-per-completion
26,27,LA Chargers,11.0,11.7,20.5,11.0,11.0,10.5,2023-01-11,/nfl/stat/opponent-yards-per-completion
27,28,Minnesota,11.1,10.2,10.8,10.9,11.3,10.7,2023-01-11,/nfl/stat/opponent-yards-per-completion
28,29,Cincinnati,11.1,11.5,14.5,11.8,10.7,10.1,2023-01-11,/nfl/stat/opponent-yards-per-completion
29,30,Pittsburgh,11.4,8.9,9.1,10.8,11.9,10.4,2023-01-11,/nfl/stat/opponent-yards-per-completion
30,31,Chicago,11.5,11.8,12.2,12.0,11.0,10.4,2023-01-11,/nfl/stat/opponent-yards-per-completion
31,32,Detroit,11.8,12.0,11.1,11.5,12.3,11.6,2023-01-11,/nfl/stat/opponent-yards-per-completion
