,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,4.6,4.6,4.6,4.5,4.8,5.2,2022-11-23,/nfl/stat/opponent-yards-per-play
1,2,San Francisco,4.7,4.2,4.4,5.3,4.3,5.1,2022-11-23,/nfl/stat/opponent-yards-per-play
2,3,Denver,4.8,5.4,6.6,4.9,4.7,5.3,2022-11-23,/nfl/stat/opponent-yards-per-play
3,4,NY Jets,4.8,4.6,5.0,4.7,4.9,5.9,2022-11-23,/nfl/stat/opponent-yards-per-play
4,5,Dallas,4.8,5.2,3.4,4.8,4.9,5.5,2022-11-23,/nfl/stat/opponent-yards-per-play
5,6,New England,4.9,3.7,2.1,4.4,5.5,5.3,2022-11-23,/nfl/stat/opponent-yards-per-play
6,7,Indianapolis,5.0,4.4,5.1,5.5,4.6,5.6,2022-11-23,/nfl/stat/opponent-yards-per-play
7,8,Tampa Bay,5.0,5.3,5.7,5.0,5.0,5.2,2022-11-23,/nfl/stat/opponent-yards-per-play
8,9,Buffalo,5.2,5.7,5.8,5.4,5.1,4.8,2022-11-23,/nfl/stat/opponent-yards-per-play
9,10,New Orleans,5.2,5.0,5.4,5.2,5.2,5.1,2022-11-23,/nfl/stat/opponent-yards-per-play
10,11,LA Rams,5.3,4.7,5.8,5.4,5.0,5.2,2022-11-23,/nfl/stat/opponent-yards-per-play
11,12,Cincinnati,5.3,5.5,5.2,5.1,5.4,5.6,2022-11-23,/nfl/stat/opponent-yards-per-play
12,13,Washington,5.3,4.5,3.5,5.1,5.5,5.7,2022-11-23,/nfl/stat/opponent-yards-per-play
13,14,Carolina,5.4,5.4,4.7,5.4,5.3,5.1,2022-11-23,/nfl/stat/opponent-yards-per-play
14,15,Tennessee,5.4,4.9,4.6,5.4,5.4,5.4,2022-11-23,/nfl/stat/opponent-yards-per-play
15,16,Baltimore,5.5,4.8,3.8,5.7,5.3,6.0,2022-11-23,/nfl/stat/opponent-yards-per-play
16,17,Green Bay,5.5,5.4,6.4,5.4,5.5,5.3,2022-11-23,/nfl/stat/opponent-yards-per-play
17,18,Kansas City,5.5,5.4,6.1,5.7,5.4,5.8,2022-11-23,/nfl/stat/opponent-yards-per-play
18,19,Seattle,5.5,4.6,5.7,5.4,5.7,5.4,2022-11-23,/nfl/stat/opponent-yards-per-play
19,20,Jacksonville,5.7,6.3,7.8,5.3,5.9,5.6,2022-11-23,/nfl/stat/opponent-yards-per-play
20,21,Miami,5.7,5.6,4.8,5.0,6.4,5.3,2022-11-23,/nfl/stat/opponent-yards-per-play
21,22,NY Giants,5.8,5.3,5.2,5.9,5.6,5.3,2022-11-23,/nfl/stat/opponent-yards-per-play
22,23,Chicago,5.8,6.0,5.3,5.5,6.0,5.3,2022-11-23,/nfl/stat/opponent-yards-per-play
23,24,Arizona,5.8,5.7,6.8,6.5,5.1,5.5,2022-11-23,/nfl/stat/opponent-yards-per-play
24,25,Cleveland,5.8,6.0,5.8,5.9,5.7,5.0,2022-11-23,/nfl/stat/opponent-yards-per-play
25,26,Pittsburgh,5.8,6.1,6.3,5.2,6.4,5.6,2022-11-23,/nfl/stat/opponent-yards-per-play
26,27,Houston,5.8,5.5,5.1,5.8,5.9,5.9,2022-11-23,/nfl/stat/opponent-yards-per-play
27,28,Las Vegas,5.9,6.0,5.2,6.1,5.7,5.2,2022-11-23,/nfl/stat/opponent-yards-per-play
28,29,Atlanta,5.9,4.9,4.4,5.7,6.1,5.6,2022-11-23,/nfl/stat/opponent-yards-per-play
29,30,Minnesota,5.9,5.9,6.5,5.7,6.1,5.7,2022-11-23,/nfl/stat/opponent-yards-per-play
30,31,LA Chargers,6.0,6.2,7.9,6.1,6.0,5.6,2022-11-23,/nfl/stat/opponent-yards-per-play
31,32,Detroit,6.4,6.1,5.7,6.7,6.1,5.9,2022-11-23,/nfl/stat/opponent-yards-per-play
