,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,1.19%,0.00%,0.00%,0.94%,1.49%,2.36%,2023-02-09,/nfl/stat/pass-intercepted-pct
1,2,NY Giants,1.20%,0.98%,3.70%,1.53%,0.94%,3.37%,2023-02-09,/nfl/stat/pass-intercepted-pct
2,3,LA Chargers,1.33%,0.00%,0.00%,1.76%,0.97%,2.23%,2023-02-09,/nfl/stat/pass-intercepted-pct
3,4,Tampa Bay,1.35%,0.69%,1.52%,0.88%,1.94%,1.58%,2023-02-09,/nfl/stat/pass-intercepted-pct
4,5,San Francisco,1.53%,0.00%,0.00%,1.22%,1.91%,2.89%,2023-02-09,/nfl/stat/pass-intercepted-pct
5,6,Philadelphia,1.54%,1.19%,0.00%,1.55%,1.52%,2.23%,2023-02-09,/nfl/stat/pass-intercepted-pct
6,7,Kansas City,1.64%,0.00%,0.00%,1.45%,1.89%,2.01%,2023-02-09,/nfl/stat/pass-intercepted-pct
7,8,Cincinnati,1.95%,1.83%,4.88%,1.69%,2.13%,2.29%,2023-02-09,/nfl/stat/pass-intercepted-pct
8,9,Jacksonville,2.05%,4.24%,2.56%,2.26%,1.88%,2.81%,2023-02-09,/nfl/stat/pass-intercepted-pct
9,10,Minnesota,2.11%,3.70%,0.00%,1.01%,3.49%,1.16%,2023-02-09,/nfl/stat/pass-intercepted-pct
10,11,Green Bay,2.13%,2.17%,3.70%,1.21%,2.86%,1.13%,2023-02-09,/nfl/stat/pass-intercepted-pct
11,12,Seattle,2.14%,3.16%,2.86%,1.91%,2.38%,1.41%,2023-02-09,/nfl/stat/pass-intercepted-pct
12,13,Atlanta,2.17%,0.00%,0.00%,1.84%,2.53%,2.62%,2023-02-09,/nfl/stat/pass-intercepted-pct
13,14,Cleveland,2.22%,3.85%,6.90%,2.73%,1.76%,2.69%,2023-02-09,/nfl/stat/pass-intercepted-pct
14,15,NY Jets,2.23%,2.68%,0.00%,2.71%,1.81%,3.32%,2023-02-09,/nfl/stat/pass-intercepted-pct
15,16,Tennessee,2.41%,4.40%,3.45%,2.00%,2.91%,3.04%,2023-02-09,/nfl/stat/pass-intercepted-pct
16,17,Pittsburgh,2.45%,1.05%,0.00%,3.46%,1.61%,1.55%,2023-02-09,/nfl/stat/pass-intercepted-pct
17,18,Arizona,2.56%,3.54%,11.11%,1.26%,3.76%,2.08%,2023-02-09,/nfl/stat/pass-intercepted-pct
18,19,New England,2.59%,2.83%,7.50%,2.92%,2.33%,2.62%,2023-02-09,/nfl/stat/pass-intercepted-pct
19,20,Buffalo,2.60%,3.57%,2.38%,2.79%,2.41%,2.23%,2023-02-09,/nfl/stat/pass-intercepted-pct
20,21,Denver,2.63%,6.19%,4.17%,2.92%,2.36%,1.66%,2023-02-09,/nfl/stat/pass-intercepted-pct
21,22,Miami,2.70%,3.45%,4.44%,1.89%,3.30%,2.28%,2023-02-09,/nfl/stat/pass-intercepted-pct
22,23,Baltimore,2.71%,4.26%,3.45%,3.27%,2.31%,2.95%,2023-02-09,/nfl/stat/pass-intercepted-pct
23,24,New Orleans,2.73%,3.13%,0.00%,2.14%,3.24%,2.58%,2023-02-09,/nfl/stat/pass-intercepted-pct
24,25,LA Rams,2.82%,1.37%,3.85%,3.19%,2.29%,2.80%,2023-02-09,/nfl/stat/pass-intercepted-pct
25,26,Carolina,2.84%,4.05%,13.33%,1.72%,4.00%,3.51%,2023-02-09,/nfl/stat/pass-intercepted-pct
26,27,Washington,2.89%,6.17%,5.26%,3.55%,2.21%,2.73%,2023-02-09,/nfl/stat/pass-intercepted-pct
27,28,Las Vegas,2.90%,6.00%,2.78%,1.81%,3.87%,2.20%,2023-02-09,/nfl/stat/pass-intercepted-pct
28,29,Dallas,3.19%,2.78%,5.41%,2.80%,3.53%,1.74%,2023-02-09,/nfl/stat/pass-intercepted-pct
29,30,Houston,3.28%,2.59%,5.00%,3.35%,3.23%,2.75%,2023-02-09,/nfl/stat/pass-intercepted-pct
30,31,Indianapolis,3.31%,6.59%,5.71%,2.46%,4.08%,1.54%,2023-02-09,/nfl/stat/pass-intercepted-pct
31,32,Chicago,3.98%,5.26%,7.41%,4.74%,3.01%,3.69%,2023-02-09,/nfl/stat/pass-intercepted-pct
