,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,69.58%,73.44%,71.43%,75.00%,63.76%,67.34%,2022-12-28,/nfl/stat/passing-first-down-pct
1,2,Kansas City,67.12%,65.67%,64.29%,69.09%,65.50%,64.93%,2022-12-28,/nfl/stat/passing-first-down-pct
2,3,LA Chargers,65.70%,60.94%,58.82%,62.84%,68.32%,63.84%,2022-12-28,/nfl/stat/passing-first-down-pct
3,4,Miami,65.13%,51.02%,66.67%,67.61%,62.96%,63.38%,2022-12-28,/nfl/stat/passing-first-down-pct
4,5,Minnesota,64.29%,73.08%,73.91%,61.47%,69.49%,60.84%,2022-12-28,/nfl/stat/passing-first-down-pct
5,6,NY Jets,63.88%,74.47%,80.00%,65.79%,61.26%,62.90%,2022-12-28,/nfl/stat/passing-first-down-pct
6,7,Indianapolis,63.84%,60.42%,60.00%,66.93%,61.11%,47.18%,2022-12-28,/nfl/stat/passing-first-down-pct
7,8,LA Rams,62.92%,54.24%,53.85%,62.57%,63.64%,66.67%,2022-12-28,/nfl/stat/passing-first-down-pct
8,9,Detroit,61.40%,75.81%,68.18%,64.13%,57.93%,58.66%,2022-12-28,/nfl/stat/passing-first-down-pct
9,10,Seattle,61.18%,64.71%,42.11%,65.67%,57.65%,54.97%,2022-12-28,/nfl/stat/passing-first-down-pct
10,11,Cincinnati,61.11%,60.56%,64.29%,58.33%,63.44%,62.99%,2022-12-28,/nfl/stat/passing-first-down-pct
11,12,New Orleans,60.74%,62.22%,35.71%,56.20%,65.41%,53.75%,2022-12-28,/nfl/stat/passing-first-down-pct
12,13,Jacksonville,58.93%,61.19%,52.63%,62.50%,56.28%,58.55%,2022-12-28,/nfl/stat/passing-first-down-pct
13,14,Arizona,58.02%,56.25%,50.00%,57.42%,58.70%,58.01%,2022-12-28,/nfl/stat/passing-first-down-pct
14,15,Buffalo,57.88%,49.21%,45.00%,55.15%,59.62%,58.44%,2022-12-28,/nfl/stat/passing-first-down-pct
15,16,Denver,56.81%,53.45%,61.11%,53.79%,60.00%,54.08%,2022-12-28,/nfl/stat/passing-first-down-pct
16,17,New England,56.69%,53.85%,60.00%,56.88%,56.55%,52.36%,2022-12-28,/nfl/stat/passing-first-down-pct
17,18,Pittsburgh,56.67%,59.38%,68.42%,58.70%,54.94%,64.04%,2022-12-28,/nfl/stat/passing-first-down-pct
18,19,Las Vegas,56.31%,52.08%,69.23%,54.33%,57.83%,62.37%,2022-12-28,/nfl/stat/passing-first-down-pct
19,20,Green Bay,56.23%,56.92%,64.71%,51.18%,60.00%,62.47%,2022-12-28,/nfl/stat/passing-first-down-pct
20,21,Dallas,55.31%,61.43%,72.00%,56.99%,52.80%,63.41%,2022-12-28,/nfl/stat/passing-first-down-pct
21,22,Washington,55.23%,62.12%,85.71%,53.15%,57.06%,52.46%,2022-12-28,/nfl/stat/passing-first-down-pct
22,23,Houston,54.88%,53.06%,53.33%,54.05%,55.56%,60.90%,2022-12-28,/nfl/stat/passing-first-down-pct
23,24,San Francisco,54.52%,47.17%,57.14%,52.98%,56.49%,56.10%,2022-12-28,/nfl/stat/passing-first-down-pct
24,25,Tennessee,53.11%,47.27%,25.00%,60.33%,45.83%,53.70%,2022-12-28,/nfl/stat/passing-first-down-pct
25,26,Cleveland,51.90%,55.77%,46.67%,53.45%,50.00%,51.75%,2022-12-28,/nfl/stat/passing-first-down-pct
26,27,Philadelphia,49.86%,55.56%,76.00%,45.45%,53.76%,48.36%,2022-12-28,/nfl/stat/passing-first-down-pct
27,28,NY Giants,48.70%,56.67%,65.22%,47.83%,49.66%,57.19%,2022-12-28,/nfl/stat/passing-first-down-pct
28,29,Carolina,48.57%,43.94%,36.67%,49.32%,47.47%,54.04%,2022-12-28,/nfl/stat/passing-first-down-pct
29,30,Atlanta,44.44%,46.43%,64.71%,41.73%,46.98%,64.05%,2022-12-28,/nfl/stat/passing-first-down-pct
30,31,Baltimore,42.72%,32.00%,33.33%,39.13%,45.73%,53.05%,2022-12-28,/nfl/stat/passing-first-down-pct
31,32,Chicago,38.28%,53.66%,54.55%,39.26%,37.19%,54.05%,2022-12-28,/nfl/stat/passing-first-down-pct
