,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,16.4,17.7,19.0,15.0,17.5,16.2,2022-11-02,/nfl/stat/passing-first-downs-per-game
1,2,Buffalo,14.9,13.7,8.0,12.0,17.0,13.8,2022-11-02,/nfl/stat/passing-first-downs-per-game
2,3,Miami,14.0,16.0,18.0,12.8,15.3,12.1,2022-11-02,/nfl/stat/passing-first-downs-per-game
3,3,Cincinnati,14.0,14.7,9.0,18.3,11.4,12.2,2022-11-02,/nfl/stat/passing-first-downs-per-game
4,5,Indianapolis,13.9,14.0,8.0,14.8,13.0,9.8,2022-11-02,/nfl/stat/passing-first-downs-per-game
5,6,Tampa Bay,13.8,12.7,13.0,17.0,10.5,15.8,2022-11-02,/nfl/stat/passing-first-downs-per-game
6,7,LA Chargers,13.6,13.3,17.0,13.0,14.3,15.1,2022-11-02,/nfl/stat/passing-first-downs-per-game
7,7,Minnesota,13.6,12.0,11.0,14.3,12.7,11.9,2022-11-02,/nfl/stat/passing-first-downs-per-game
8,9,LA Rams,13.3,12.3,11.0,13.4,13.0,13.9,2022-11-02,/nfl/stat/passing-first-downs-per-game
9,10,Detroit,12.9,11.0,13.0,14.0,11.3,11.4,2022-11-02,/nfl/stat/passing-first-downs-per-game
10,11,Arizona,12.8,12.0,17.0,13.0,12.5,12.3,2022-11-02,/nfl/stat/passing-first-downs-per-game
11,12,New Orleans,12.0,13.7,12.0,10.5,13.5,9.7,2022-11-02,/nfl/stat/passing-first-downs-per-game
12,12,Las Vegas,12.0,9.3,9.0,12.7,11.5,12.9,2022-11-02,/nfl/stat/passing-first-downs-per-game
13,12,Jacksonville,12.0,9.7,6.0,14.7,10.4,10.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
14,15,Philadelphia,11.9,11.3,13.0,10.8,13.3,9.8,2022-11-02,/nfl/stat/passing-first-downs-per-game
15,16,Pittsburgh,11.6,11.3,9.0,11.0,12.0,12.2,2022-11-02,/nfl/stat/passing-first-downs-per-game
16,17,Washington,11.5,9.7,13.0,12.3,10.8,10.6,2022-11-02,/nfl/stat/passing-first-downs-per-game
17,17,NY Jets,11.5,8.0,15.0,13.8,9.3,11.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
18,19,Seattle,11.4,11.3,14.0,12.0,10.8,9.8,2022-11-02,/nfl/stat/passing-first-downs-per-game
19,20,Cleveland,11.3,10.7,12.0,13.2,8.0,10.4,2022-11-02,/nfl/stat/passing-first-downs-per-game
20,21,San Francisco,11.0,15.0,12.0,11.7,10.6,11.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
21,21,Green Bay,11.0,9.0,8.0,10.3,11.4,13.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
22,23,Dallas,10.1,12.3,15.0,10.6,9.3,14.4,2022-11-02,/nfl/stat/passing-first-downs-per-game
23,23,New England,10.1,10.7,9.0,10.7,9.8,11.1,2022-11-02,/nfl/stat/passing-first-downs-per-game
24,25,Denver,9.9,9.7,11.0,10.0,9.8,10.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
25,25,Baltimore,9.9,11.0,15.0,8.0,11.8,12.3,2022-11-02,/nfl/stat/passing-first-downs-per-game
26,27,Atlanta,8.9,8.7,14.0,8.8,9.0,11.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
27,27,NY Giants,8.9,10.3,9.0,8.0,9.8,10.1,2022-11-02,/nfl/stat/passing-first-downs-per-game
28,29,Houston,8.7,7.7,5.0,9.3,8.3,9.5,2022-11-02,/nfl/stat/passing-first-downs-per-game
29,30,Tennessee,8.0,5.0,3.0,10.7,6.0,11.3,2022-11-02,/nfl/stat/passing-first-downs-per-game
30,31,Carolina,7.8,8.3,12.0,7.6,8.0,10.2,2022-11-02,/nfl/stat/passing-first-downs-per-game
31,32,Chicago,6.1,7.7,4.0,6.0,6.2,10.6,2022-11-02,/nfl/stat/passing-first-downs-per-game
