,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,313.9,390.0,331.0,312.6,315.5,288.5,2022-11-16,/nfl/stat/passing-yards-per-game
1,2,Buffalo,294.2,236.7,311.0,318.0,275.2,258.2,2022-11-16,/nfl/stat/passing-yards-per-game
2,3,Miami,293.8,322.3,296.0,271.0,316.6,214.8,2022-11-16,/nfl/stat/passing-yards-per-game
3,4,Tampa Bay,269.8,278.3,258.0,310.4,229.2,304.2,2022-11-16,/nfl/stat/passing-yards-per-game
4,5,LA Chargers,265.3,236.0,187.0,266.3,264.6,282.4,2022-11-16,/nfl/stat/passing-yards-per-game
5,6,Cincinnati,263.0,291.7,223.0,321.3,216.4,256.0,2022-11-16,/nfl/stat/passing-yards-per-game
6,7,Minnesota,248.8,262.3,334.0,259.8,240.0,249.3,2022-11-16,/nfl/stat/passing-yards-per-game
7,8,Detroit,241.4,225.3,228.0,252.4,227.8,211.6,2022-11-16,/nfl/stat/passing-yards-per-game
8,9,New Orleans,237.7,194.3,157.0,201.6,273.8,187.4,2022-11-16,/nfl/stat/passing-yards-per-game
9,10,San Francisco,236.3,276.7,230.0,249.0,226.2,236.6,2022-11-16,/nfl/stat/passing-yards-per-game
10,11,Philadelphia,234.2,225.7,170.0,221.2,250.5,202.7,2022-11-16,/nfl/stat/passing-yards-per-game
11,12,Las Vegas,228.6,208.3,232.0,221.3,234.4,269.4,2022-11-16,/nfl/stat/passing-yards-per-game
12,13,Seattle,227.8,232.3,244.0,208.8,240.5,201.9,2022-11-16,/nfl/stat/passing-yards-per-game
13,14,Indianapolis,226.4,146.7,208.0,270.5,197.0,197.7,2022-11-16,/nfl/stat/passing-yards-per-game
14,15,Denver,223.6,232.3,248.0,207.5,236.4,211.4,2022-11-16,/nfl/stat/passing-yards-per-game
15,16,Green Bay,223.0,227.0,208.0,220.3,224.8,250.6,2022-11-16,/nfl/stat/passing-yards-per-game
16,17,Jacksonville,222.6,196.3,240.0,266.5,193.3,202.1,2022-11-16,/nfl/stat/passing-yards-per-game
17,18,Arizona,220.6,219.0,220.0,208.4,232.8,244.3,2022-11-16,/nfl/stat/passing-yards-per-game
18,19,NY Jets,219.0,192.3,136.0,241.6,190.8,208.3,2022-11-16,/nfl/stat/passing-yards-per-game
19,20,Cleveland,217.1,225.3,185.0,236.4,193.0,195.3,2022-11-16,/nfl/stat/passing-yards-per-game
20,21,LA Rams,214.6,165.0,190.0,225.7,192.3,277.5,2022-11-16,/nfl/stat/passing-yards-per-game
21,22,Washington,211.7,190.0,178.0,224.8,198.6,202.4,2022-11-16,/nfl/stat/passing-yards-per-game
22,23,New England,202.7,161.3,133.0,203.3,202.2,226.3,2022-11-16,/nfl/stat/passing-yards-per-game
23,24,Pittsburgh,199.4,188.7,162.0,171.3,222.0,221.1,2022-11-16,/nfl/stat/passing-yards-per-game
24,24,Houston,199.4,179.7,286.0,172.5,221.0,194.4,2022-11-16,/nfl/stat/passing-yards-per-game
25,26,Dallas,198.6,231.7,262.0,210.6,183.5,279.4,2022-11-16,/nfl/stat/passing-yards-per-game
26,27,Baltimore,186.8,149.0,131.0,179.0,193.0,233.0,2022-11-16,/nfl/stat/passing-yards-per-game
27,28,Carolina,176.2,191.3,101.0,175.0,178.0,190.5,2022-11-16,/nfl/stat/passing-yards-per-game
28,29,NY Giants,161.0,174.3,176.0,146.6,179.0,188.0,2022-11-16,/nfl/stat/passing-yards-per-game
29,30,Atlanta,156.8,168.7,153.0,164.0,149.6,218.4,2022-11-16,/nfl/stat/passing-yards-per-game
30,31,Tennessee,148.2,113.7,244.0,219.5,91.2,201.7,2022-11-16,/nfl/stat/passing-yards-per-game
31,32,Chicago,128.1,132.3,150.0,121.4,134.8,188.6,2022-11-16,/nfl/stat/passing-yards-per-game
