,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Green Bay,0.02,0.02,0.02,0,0.02,0.03,2022-09-13,/nfl/stat/penalties-per-play
1,2,Kansas City,0.02,0.02,0.02,0,0.02,0.05,2022-09-13,/nfl/stat/penalties-per-play
2,3,Chicago,0.02,0.02,0.02,0.02,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
3,4,Minnesota,0.02,0.02,0.02,0.02,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
4,5,Las Vegas,0.02,0.02,0.02,0,0.02,0.06,2022-09-13,/nfl/stat/penalties-per-play
5,6,Cincinnati,0.03,0.03,0.03,0.03,0,0.04,2022-09-13,/nfl/stat/penalties-per-play
6,7,New England,0.03,0.03,0.03,0,0.03,0.05,2022-09-13,/nfl/stat/penalties-per-play
7,8,LA Rams,0.03,0.03,0.03,0.03,0,0.03,2022-09-13,/nfl/stat/penalties-per-play
8,9,Miami,0.04,0.04,0.04,0.04,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
9,10,Baltimore,0.04,0.04,0.04,0,0.04,0.05,2022-09-13,/nfl/stat/penalties-per-play
10,11,Houston,0.04,0.04,0.04,0.04,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
11,12,Arizona,0.04,0.04,0.04,0.04,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
12,13,Tampa Bay,0.04,0.04,0.04,0,0.04,0.04,2022-09-13,/nfl/stat/penalties-per-play
13,14,Buffalo,0.04,0.04,0.04,0,0.04,0.05,2022-09-13,/nfl/stat/penalties-per-play
14,15,LA Chargers,0.04,0.04,0.04,0.04,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
15,16,Seattle,0.04,0.04,0.04,0.04,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
16,17,Indianapolis,0.04,0.04,0.04,0,0.04,0.04,2022-09-13,/nfl/stat/penalties-per-play
17,18,Washington,0.05,0.05,0.05,0.05,0,0.04,2022-09-13,/nfl/stat/penalties-per-play
18,18,NY Jets,0.05,0.05,0.05,0.05,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
19,20,Detroit,0.05,0.05,0.05,0.05,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
20,21,Pittsburgh,0.05,0.05,0.05,0,0.05,0.05,2022-09-13,/nfl/stat/penalties-per-play
21,22,Tennessee,0.06,0.06,0.06,0.06,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
22,23,Atlanta,0.06,0.06,0.06,0.06,0,0.04,2022-09-13,/nfl/stat/penalties-per-play
23,23,New Orleans,0.06,0.06,0.06,0,0.06,0.05,2022-09-13,/nfl/stat/penalties-per-play
24,25,Carolina,0.06,0.06,0.06,0.06,0,0.05,2022-09-13,/nfl/stat/penalties-per-play
25,26,NY Giants,0.07,0.07,0.07,0,0.07,0.04,2022-09-13,/nfl/stat/penalties-per-play
26,27,Philadelphia,0.07,0.07,0.07,0,0.07,0.05,2022-09-13,/nfl/stat/penalties-per-play
27,28,Cleveland,0.07,0.07,0.07,0,0.07,0.05,2022-09-13,/nfl/stat/penalties-per-play
28,29,Dallas,0.08,0.08,0.08,0.08,0,0.06,2022-09-13,/nfl/stat/penalties-per-play
29,30,San Francisco,0.1,0.1,0.1,0,0.10,0.05,2022-09-13,/nfl/stat/penalties-per-play
30,31,Jacksonville,0.1,0.1,0.1,0,0.10,0.05,2022-09-13,/nfl/stat/penalties-per-play
31,32,Denver,0.11,0.11,0.11,0,0.11,0.04,2022-09-13,/nfl/stat/penalties-per-play
