,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Houston,7.3,6.7,5.9,7.0,7.6,8.6,2023-02-09,/nfl/stat/penalty-yards-per-penalty
1,2,Philadelphia,7.5,6.8,8.5,7.3,7.8,8.0,2023-02-09,/nfl/stat/penalty-yards-per-penalty
2,3,Cincinnati,7.5,6.8,7.9,8.3,7.0,8.4,2023-02-09,/nfl/stat/penalty-yards-per-penalty
3,4,Pittsburgh,7.6,7.5,5.0,7.9,7.3,8.0,2023-02-09,/nfl/stat/penalty-yards-per-penalty
4,5,Jacksonville,7.6,7.9,8.0,7.0,8.0,8.2,2023-02-09,/nfl/stat/penalty-yards-per-penalty
5,6,Minnesota,7.6,4.9,4.0,8.3,6.9,9.4,2023-02-09,/nfl/stat/penalty-yards-per-penalty
6,7,Buffalo,7.7,7.8,7.5,7.4,7.9,8.8,2023-02-09,/nfl/stat/penalty-yards-per-penalty
7,8,LA Chargers,7.7,6.8,6.0,7.9,7.5,8.9,2023-02-09,/nfl/stat/penalty-yards-per-penalty
8,9,Miami,7.8,7.2,4.9,7.9,7.7,7.9,2023-02-09,/nfl/stat/penalty-yards-per-penalty
9,10,Arizona,7.8,8.3,7.1,7.7,7.8,8.6,2023-02-09,/nfl/stat/penalty-yards-per-penalty
10,11,San Francisco,7.8,8.2,7.4,8.9,7.1,10.0,2023-02-09,/nfl/stat/penalty-yards-per-penalty
11,12,NY Giants,7.8,8.3,5.0,7.3,8.2,7.7,2023-02-09,/nfl/stat/penalty-yards-per-penalty
12,13,Seattle,8.0,5.4,6.0,8.6,7.6,8.3,2023-02-09,/nfl/stat/penalty-yards-per-penalty
13,14,Dallas,8.0,9.3,7.1,7.4,8.6,8.5,2023-02-09,/nfl/stat/penalty-yards-per-penalty
14,15,New England,8.1,7.8,10.0,7.8,8.4,8.9,2023-02-09,/nfl/stat/penalty-yards-per-penalty
15,16,Tampa Bay,8.1,8.2,11.3,7.9,8.3,9.2,2023-02-09,/nfl/stat/penalty-yards-per-penalty
16,17,Las Vegas,8.2,8.3,7.8,7.2,9.3,8.8,2023-02-09,/nfl/stat/penalty-yards-per-penalty
17,18,Carolina,8.3,7.6,10.0,9.0,7.4,8.1,2023-02-09,/nfl/stat/penalty-yards-per-penalty
18,19,Baltimore,8.3,6.8,9.0,8.6,8.0,8.4,2023-02-09,/nfl/stat/penalty-yards-per-penalty
19,20,Green Bay,8.4,8.8,8.8,9.2,7.8,9.5,2023-02-09,/nfl/stat/penalty-yards-per-penalty
20,21,Cleveland,8.5,8.1,7.2,8.9,8.2,9.2,2023-02-09,/nfl/stat/penalty-yards-per-penalty
21,22,New Orleans,8.5,7.1,7.5,7.5,9.1,8.3,2023-02-09,/nfl/stat/penalty-yards-per-penalty
22,23,Denver,8.6,9.5,12.0,7.7,9.2,8.6,2023-02-09,/nfl/stat/penalty-yards-per-penalty
23,24,Detroit,8.6,9.8,15.0,7.7,9.5,7.8,2023-02-09,/nfl/stat/penalty-yards-per-penalty
24,25,Tennessee,8.6,9.2,6.7,8.9,8.4,9.4,2023-02-09,/nfl/stat/penalty-yards-per-penalty
25,26,LA Rams,8.6,7.0,11.7,8.7,8.5,8.3,2023-02-09,/nfl/stat/penalty-yards-per-penalty
26,27,Atlanta,8.7,11.3,9.0,8.9,8.5,8.2,2023-02-09,/nfl/stat/penalty-yards-per-penalty
27,28,Washington,8.8,6.5,5.0,7.9,9.6,9.1,2023-02-09,/nfl/stat/penalty-yards-per-penalty
28,29,Indianapolis,8.9,7.4,5.0,8.3,9.3,9.1,2023-02-09,/nfl/stat/penalty-yards-per-penalty
29,30,Chicago,9.4,12.0,10.0,9.9,9.0,8.6,2023-02-09,/nfl/stat/penalty-yards-per-penalty
30,31,NY Jets,9.5,7.5,9.0,11.8,8.2,8.3,2023-02-09,/nfl/stat/penalty-yards-per-penalty
31,32,Kansas City,9.8,10.7,13.8,9.4,10.2,8.3,2023-02-09,/nfl/stat/penalty-yards-per-penalty
