,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,80.0%,66.7%,0.0%,100.0%,66.7%,61.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
1,1,New England,80.0%,66.7%,0.0%,80.0%,80.0%,61.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
2,1,Philadelphia,80.0%,66.7%,0.0%,100.0%,60.0%,44.4%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
3,4,San Francisco,70.0%,66.7%,100.0%,100.0%,50.0%,45.0%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
4,4,NY Jets,70.0%,66.7%,0.0%,80.0%,60.0%,35.3%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
5,4,Buffalo,70.0%,33.3%,0.0%,100.0%,50.0%,57.9%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
6,4,Baltimore,70.0%,66.7%,100.0%,80.0%,60.0%,47.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
7,4,Minnesota,70.0%,66.7%,0.0%,60.0%,80.0%,64.7%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
8,9,Atlanta,63.6%,66.7%,100.0%,83.3%,40.0%,47.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
9,10,Pittsburgh,60.0%,66.7%,100.0%,80.0%,40.0%,61.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
10,10,Jacksonville,60.0%,66.7%,100.0%,25.0%,83.3%,35.3%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
11,10,Seattle,60.0%,33.3%,100.0%,50.0%,66.7%,47.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
12,13,Chicago,54.6%,0.0%,0.0%,40.0%,66.7%,29.4%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
13,13,Carolina,54.6%,66.7%,100.0%,50.0%,60.0%,41.2%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
14,13,Green Bay,54.6%,100.0%,100.0%,60.0%,50.0%,66.7%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
15,16,Dallas,50.0%,0.0%,0.0%,60.0%,40.0%,77.8%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
16,16,Detroit,50.0%,100.0%,100.0%,40.0%,60.0%,52.9%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
17,16,Houston,50.0%,0.0%,0.0%,40.0%,60.0%,58.8%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
18,16,Cincinnati,50.0%,66.7%,0.0%,50.0%,50.0%,66.7%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
19,20,Washington,45.5%,100.0%,100.0%,40.0%,50.0%,41.2%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
20,21,Tampa Bay,40.0%,0.0%,0.0%,40.0%,40.0%,63.2%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
21,21,Denver,40.0%,33.3%,0.0%,40.0%,40.0%,52.9%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
22,21,LA Chargers,40.0%,0.0%,0.0%,40.0%,40.0%,47.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
23,24,Arizona,36.4%,66.7%,0.0%,40.0%,33.3%,50.0%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
24,25,Las Vegas,30.0%,0.0%,0.0%,50.0%,16.7%,22.2%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
25,25,Cleveland,30.0%,33.3%,0.0%,20.0%,40.0%,47.1%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
26,25,Kansas City,30.0%,33.3%,100.0%,20.0%,40.0%,65.0%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
27,25,LA Rams,30.0%,0.0%,0.0%,50.0%,0.0%,71.4%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
28,29,Indianapolis,27.3%,0.0%,0.0%,40.0%,16.7%,64.7%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
29,30,Miami,20.0%,0.0%,0.0%,40.0%,0.0%,52.9%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
30,30,NY Giants,20.0%,33.3%,0.0%,33.3%,0.0%,58.8%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
31,32,New Orleans,18.2%,0.0%,0.0%,16.7%,20.0%,70.6%,2022-11-23,/nfl/stat/percent-of-games-with-an-interception
