,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,NY Giants,31.6%,33.3%,100.0%,33.3%,30.0%,64.7%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
1,2,San Francisco,35.0%,0.0%,0.0%,27.3%,44.4%,65.0%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
2,3,Detroit,35.3%,0.0%,0.0%,33.3%,37.5%,58.8%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
3,4,Philadelphia,36.8%,33.3%,0.0%,45.5%,25.0%,44.4%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
4,5,Tampa Bay,38.9%,33.3%,100.0%,33.3%,44.4%,52.6%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
5,6,Atlanta,41.2%,0.0%,0.0%,33.3%,50.0%,41.2%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
6,6,Pittsburgh,41.2%,33.3%,0.0%,50.0%,33.3%,50.0%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
7,8,Jacksonville,42.1%,66.7%,100.0%,37.5%,45.5%,47.1%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
8,8,Cincinnati,42.1%,33.3%,100.0%,25.0%,54.6%,52.4%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
9,10,Miami,44.4%,66.7%,100.0%,25.0%,60.0%,64.7%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
10,11,New Orleans,47.1%,66.7%,0.0%,37.5%,55.6%,41.2%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
11,11,NY Jets,47.1%,66.7%,0.0%,62.5%,33.3%,64.7%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
12,11,New England,47.1%,33.3%,100.0%,37.5%,55.6%,55.6%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
13,14,Kansas City,47.4%,0.0%,0.0%,50.0%,44.4%,60.0%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
14,15,LA Chargers,50.0%,0.0%,0.0%,62.5%,40.0%,64.7%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
15,15,Minnesota,50.0%,66.7%,0.0%,30.0%,75.0%,35.3%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
16,17,Tennessee,52.9%,100.0%,100.0%,50.0%,55.6%,55.6%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
17,17,Carolina,52.9%,66.7%,100.0%,33.3%,75.0%,76.5%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
18,17,Green Bay,52.9%,66.7%,100.0%,37.5%,66.7%,27.8%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
19,20,Seattle,55.6%,66.7%,100.0%,44.4%,66.7%,29.4%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
20,21,Las Vegas,58.8%,100.0%,100.0%,50.0%,66.7%,72.2%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
21,21,Cleveland,58.8%,66.7%,100.0%,75.0%,44.4%,52.9%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
22,21,Denver,58.8%,100.0%,100.0%,75.0%,44.4%,35.3%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
23,21,LA Rams,58.8%,33.3%,100.0%,66.7%,50.0%,61.9%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
24,25,Buffalo,61.1%,100.0%,100.0%,66.7%,55.6%,52.6%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
25,25,Baltimore,61.1%,100.0%,100.0%,62.5%,60.0%,64.7%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
26,27,Dallas,63.2%,66.7%,100.0%,66.7%,60.0%,55.6%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
27,28,Arizona,64.7%,66.7%,100.0%,50.0%,77.8%,50.0%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
28,28,Indianapolis,64.7%,100.0%,100.0%,50.0%,77.8%,29.4%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
29,30,Washington,70.6%,100.0%,100.0%,77.8%,62.5%,64.7%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
30,30,Chicago,70.6%,100.0%,100.0%,77.8%,62.5%,70.6%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
31,30,Houston,70.6%,66.7%,100.0%,62.5%,77.8%,52.9%,2023-02-09,/nfl/stat/percent-of-games-with-an-interception-thrown
