,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Arizona,68.6,66.7,64.0,66.3,70.8,65.6,2022-12-07,/nfl/stat/plays-per-game
1,2,Washington,67.8,69.7,82.0,65.8,69.6,62.9,2022-12-07,/nfl/stat/plays-per-game
2,3,LA Chargers,67.6,67.7,74.0,68.0,67.3,66.4,2022-12-07,/nfl/stat/plays-per-game
3,4,Tampa Bay,67.5,71.7,75.0,68.2,66.8,67.5,2022-12-07,/nfl/stat/plays-per-game
4,5,Cleveland,67.0,68.0,61.0,68.7,65.3,62.0,2022-12-07,/nfl/stat/plays-per-game
5,6,Buffalo,66.3,69.3,72.0,61.3,68.9,66.3,2022-12-07,/nfl/stat/plays-per-game
6,7,Philadelphia,66.1,69.0,67.0,65.6,66.8,63.2,2022-12-07,/nfl/stat/plays-per-game
7,8,Cincinnati,65.7,65.7,66.0,72.2,61.0,61.8,2022-12-07,/nfl/stat/plays-per-game
8,9,Kansas City,65.5,62.7,54.0,68.2,62.8,67.0,2022-12-07,/nfl/stat/plays-per-game
9,10,Pittsburgh,65.4,66.7,65.0,65.2,65.6,65.5,2022-12-07,/nfl/stat/plays-per-game
10,11,Indianapolis,65.2,64.7,70.0,64.0,66.3,61.9,2022-12-07,/nfl/stat/plays-per-game
11,12,Minnesota,64.7,62.0,66.0,65.1,64.0,63.7,2022-12-07,/nfl/stat/plays-per-game
12,13,NY Giants,64.5,65.3,65.0,66.3,62.0,61.8,2022-12-07,/nfl/stat/plays-per-game
13,14,Detroit,63.8,68.0,74.0,64.0,63.6,62.1,2022-12-07,/nfl/stat/plays-per-game
14,15,NY Jets,63.7,64.7,83.0,65.3,62.0,60.9,2022-12-07,/nfl/stat/plays-per-game
15,16,Dallas,63.1,68.0,65.0,61.4,65.4,67.9,2022-12-07,/nfl/stat/plays-per-game
16,16,Jacksonville,63.1,59.0,55.0,66.8,60.4,60.5,2022-12-07,/nfl/stat/plays-per-game
17,18,Baltimore,62.8,67.7,69.0,62.8,62.8,69.7,2022-12-07,/nfl/stat/plays-per-game
18,19,San Francisco,62.8,67.7,79.0,67.8,57.7,60.6,2022-12-07,/nfl/stat/plays-per-game
19,19,Denver,62.8,57.0,52.0,68.6,58.6,60.9,2022-12-07,/nfl/stat/plays-per-game
20,21,Las Vegas,61.8,66.0,59.0,62.6,61.3,64.1,2022-12-07,/nfl/stat/plays-per-game
21,22,Green Bay,61.5,57.0,63.0,65.2,59.3,62.6,2022-12-07,/nfl/stat/plays-per-game
22,23,LA Rams,60.5,60.0,63.0,62.1,58.2,63.2,2022-12-07,/nfl/stat/plays-per-game
23,24,Miami,60.4,61.3,45.0,62.0,58.8,64.5,2022-12-07,/nfl/stat/plays-per-game
24,25,New Orleans,60.2,55.0,56.0,63.2,57.6,61.8,2022-12-07,/nfl/stat/plays-per-game
25,26,Chicago,59.7,57.3,50.0,60.8,58.7,63.2,2022-12-07,/nfl/stat/plays-per-game
26,27,Seattle,59.7,59.3,65.0,61.8,58.1,56.1,2022-12-07,/nfl/stat/plays-per-game
27,28,New England,59.3,55.0,51.0,56.5,62.2,61.8,2022-12-07,/nfl/stat/plays-per-game
28,29,Houston,58.3,57.7,61.0,57.3,59.2,59.4,2022-12-07,/nfl/stat/plays-per-game
29,30,Atlanta,57.4,53.7,53.0,59.3,55.2,59.2,2022-12-07,/nfl/stat/plays-per-game
30,31,Tennessee,56.5,57.7,53.0,57.6,55.7,65.8,2022-12-07,/nfl/stat/plays-per-game
31,32,Carolina,56.4,61.0,65.0,57.7,54.6,65.1,2022-12-07,/nfl/stat/plays-per-game
