,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,29.2,27.3,31.0,25.1,32.8,29.4,2023-01-11,/nfl/stat/points-per-game
1,2,Buffalo,28.4,34.0,35.0,31.9,25.8,29.8,2023-01-11,/nfl/stat/points-per-game
2,3,Philadelphia,28.1,22.0,22.0,26.9,29.4,25.5,2023-01-11,/nfl/stat/points-per-game
3,4,Dallas,27.5,24.3,6.0,30.0,24.6,30.4,2023-01-11,/nfl/stat/points-per-game
4,5,Detroit,26.6,28.0,20.0,33.1,19.4,19.1,2023-01-11,/nfl/stat/points-per-game
5,6,San Francisco,26.5,37.3,38.0,28.0,24.8,24.0,2023-01-11,/nfl/stat/points-per-game
6,7,Cincinnati,26.1,27.7,27.0,28.7,24.1,26.3,2023-01-11,/nfl/stat/points-per-game
7,8,Minnesota,24.9,24.3,29.0,27.0,22.6,25.0,2023-01-11,/nfl/stat/points-per-game
8,9,Seattle,23.9,17.3,19.0,22.1,26.0,23.2,2023-01-11,/nfl/stat/points-per-game
9,10,Jacksonville,23.8,23.3,20.0,23.1,24.2,14.9,2023-01-11,/nfl/stat/points-per-game
10,11,Miami,23.4,17.3,11.0,21.6,24.9,20.1,2023-01-11,/nfl/stat/points-per-game
11,12,Las Vegas,23.2,19.0,13.0,27.1,19.8,21.8,2023-01-11,/nfl/stat/points-per-game
12,13,LA Chargers,23.0,26.3,28.0,21.8,24.1,27.9,2023-01-11,/nfl/stat/points-per-game
13,14,Green Bay,21.8,27.7,16.0,24.1,19.7,25.6,2023-01-11,/nfl/stat/points-per-game
14,15,Atlanta,21.5,19.7,30.0,24.9,17.6,18.4,2023-01-11,/nfl/stat/points-per-game
15,15,NY Giants,21.5,26.0,16.0,22.3,20.5,15.2,2023-01-11,/nfl/stat/points-per-game
16,17,New England,21.4,21.3,23.0,19.5,23.1,26.6,2023-01-11,/nfl/stat/points-per-game
17,18,Cleveland,21.2,16.0,14.0,22.5,20.1,20.5,2023-01-11,/nfl/stat/points-per-game
18,19,Baltimore,20.6,15.3,16.0,19.1,21.9,22.8,2023-01-11,/nfl/stat/points-per-game
19,20,Carolina,20.4,23.7,10.0,22.1,18.5,17.9,2023-01-11,/nfl/stat/points-per-game
20,21,Arizona,20.0,16.0,13.0,20.8,19.3,25.6,2023-01-11,/nfl/stat/points-per-game
21,22,New Orleans,19.4,14.7,7.0,20.9,18.1,21.4,2023-01-11,/nfl/stat/points-per-game
22,23,Chicago,19.2,12.0,13.0,19.6,18.8,18.3,2023-01-11,/nfl/stat/points-per-game
23,24,Washington,18.9,18.7,26.0,17.8,20.1,19.7,2023-01-11,/nfl/stat/points-per-game
24,25,Tampa Bay,18.4,22.0,17.0,21.5,15.7,29.9,2023-01-11,/nfl/stat/points-per-game
25,26,Pittsburgh,18.1,19.0,28.0,19.9,16.6,20.2,2023-01-11,/nfl/stat/points-per-game
26,27,LA Rams,18.1,25.7,16.0,21.9,13.8,27.0,2023-01-11,/nfl/stat/points-per-game
27,28,Tennessee,17.5,14.3,16.0,18.1,17.0,24.2,2023-01-11,/nfl/stat/points-per-game
28,29,NY Jets,17.4,5.0,6.0,18.6,16.3,18.2,2023-01-11,/nfl/stat/points-per-game
29,30,Houston,17.0,18.0,32.0,15.3,18.6,16.5,2023-01-11,/nfl/stat/points-per-game
30,30,Indianapolis,17.0,14.7,31.0,19.3,15.0,26.5,2023-01-11,/nfl/stat/points-per-game
31,32,Denver,16.9,23.0,31.0,18.0,15.9,19.7,2023-01-11,/nfl/stat/points-per-game
