,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,0.14300000000000002,0.048,-0.287,0.183,0.092,0.062,2023-02-09,/nfl/stat/points-per-play-margin
1,2,Philadelphia,0.126,0.244,0.287,0.14800000000000002,0.099,0.040999999999999995,2023-02-09,/nfl/stat/points-per-play-margin
2,3,Buffalo,0.124,0.013999999999999999,-0.21899999999999997,0.172,0.079,0.146,2023-02-09,/nfl/stat/points-per-play-margin
3,4,Dallas,0.109,-0.035,-0.102,0.171,0.055999999999999994,0.115,2023-02-09,/nfl/stat/points-per-play-margin
4,5,Kansas City,0.109,0.15,0.031,0.075,0.14800000000000002,0.08199999999999999,2023-02-09,/nfl/stat/points-per-play-margin
5,6,Cincinnati,0.081,0.12,-0.031,0.11800000000000001,0.055,0.081,2023-02-09,/nfl/stat/points-per-play-margin
6,7,Jacksonville,0.051,0.05,-0.07,0.053,0.05,-0.182,2023-02-09,/nfl/stat/points-per-play-margin
7,8,New England,0.044000000000000004,-0.013000000000000001,-0.244,0.073,0.016,0.11,2023-02-09,/nfl/stat/points-per-play-margin
8,9,Miami,0.023,-0.034,-0.023,0.11199999999999999,-0.043,-0.034,2023-02-09,/nfl/stat/points-per-play-margin
9,10,Baltimore,0.02,-0.11599999999999999,-0.187,0.036000000000000004,0.006999999999999999,-0.053,2023-02-09,/nfl/stat/points-per-play-margin
10,11,Detroit,0.018000000000000002,0.07400000000000001,0.053,0.115,-0.095,-0.12,2023-02-09,/nfl/stat/points-per-play-margin
11,12,Carolina,0.016,0.073,0.052000000000000005,0.08199999999999999,-0.057,-0.11800000000000001,2023-02-09,/nfl/stat/points-per-play-margin
12,13,Seattle,0.013999999999999999,-0.013000000000000001,-0.276,0.051,-0.021,0.109,2023-02-09,/nfl/stat/points-per-play-margin
13,14,New Orleans,0.004,0.079,-0.052000000000000005,0.011000000000000001,-0.003,0.031,2023-02-09,/nfl/stat/points-per-play-margin
14,15,Atlanta,0.004,-0.004,0.133,0.077,-0.08,-0.10099999999999999,2023-02-09,/nfl/stat/points-per-play-margin
15,16,Minnesota,-0.006,-0.094,-0.027000000000000003,0.017,-0.036000000000000004,0.023,2023-02-09,/nfl/stat/points-per-play-margin
16,17,Las Vegas,-0.012,-0.132,-0.36,0.012,-0.035,-0.059000000000000004,2023-02-09,/nfl/stat/points-per-play-margin
17,18,NY Jets,-0.013999999999999999,-0.172,-0.059000000000000004,-0.013000000000000001,-0.013999999999999999,-0.141,2023-02-09,/nfl/stat/points-per-play-margin
18,19,Green Bay,-0.022000000000000002,0.102,-0.053,0.013999999999999999,-0.055999999999999994,0.055999999999999994,2023-02-09,/nfl/stat/points-per-play-margin
19,20,Tennessee,-0.026000000000000002,-0.138,-0.203,-0.005,-0.046,0.028999999999999998,2023-02-09,/nfl/stat/points-per-play-margin
20,21,NY Giants,-0.027000000000000003,-0.131,-0.41600000000000004,-0.008,-0.043,-0.12,2023-02-09,/nfl/stat/points-per-play-margin
21,22,Cleveland,-0.043,-0.021,-0.177,-0.009000000000000001,-0.07200000000000001,-0.02,2023-02-09,/nfl/stat/points-per-play-margin
22,23,LA Chargers,-0.043,0.049,-0.008,-0.07200000000000001,-0.019,0.004,2023-02-09,/nfl/stat/points-per-play-margin
23,24,LA Rams,-0.059000000000000004,0.11900000000000001,0.0,-0.049,-0.084,0.09699999999999999,2023-02-09,/nfl/stat/points-per-play-margin
24,25,Pittsburgh,-0.06,0.05,0.177,0.008,-0.11900000000000001,-0.064,2023-02-09,/nfl/stat/points-per-play-margin
25,26,Washington,-0.062,-0.114,0.322,-0.043,-0.086,-0.094,2023-02-09,/nfl/stat/points-per-play-margin
26,27,Denver,-0.066,-0.196,0.08199999999999999,-0.031,-0.09699999999999999,0.013000000000000001,2023-02-09,/nfl/stat/points-per-play-margin
27,28,Tampa Bay,-0.077,-0.13699999999999998,-0.27399999999999997,-0.079,-0.075,0.11900000000000001,2023-02-09,/nfl/stat/points-per-play-margin
28,29,Houston,-0.086,-0.126,0.057,-0.13,-0.047,-0.133,2023-02-09,/nfl/stat/points-per-play-margin
29,30,Chicago,-0.11599999999999999,-0.301,-0.14800000000000002,-0.077,-0.159,-0.114,2023-02-09,/nfl/stat/points-per-play-margin
30,31,Arizona,-0.12,-0.136,-0.363,-0.114,-0.126,0.021,2023-02-09,/nfl/stat/points-per-play-margin
31,32,Indianapolis,-0.129,-0.21899999999999997,-0.057,-0.057,-0.18899999999999997,0.081,2023-02-09,/nfl/stat/points-per-play-margin
