,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,0.6,0.9,2.0,0.8,0.5,0.6,2023-02-09,/nfl/stat/punts-per-offensive-score
1,2,Kansas City,0.6,0.8,0.8,0.9,0.4,0.5,2023-02-09,/nfl/stat/punts-per-offensive-score
2,3,Detroit,0.7,0.7,1.0,0.5,1.0,1.1,2023-02-09,/nfl/stat/punts-per-offensive-score
3,4,Philadelphia,0.7,0.5,0.8,0.7,0.6,0.7,2023-02-09,/nfl/stat/punts-per-offensive-score
4,5,San Francisco,0.7,0.6,4.0,0.6,1.0,0.8,2023-02-09,/nfl/stat/punts-per-offensive-score
5,6,Las Vegas,0.8,0.8,0.7,0.7,0.8,0.8,2023-02-09,/nfl/stat/punts-per-offensive-score
6,7,Jacksonville,0.8,0.8,1.0,0.7,0.8,1.5,2023-02-09,/nfl/stat/punts-per-offensive-score
7,8,Cincinnati,0.8,0.7,1.0,0.7,0.8,0.8,2023-02-09,/nfl/stat/punts-per-offensive-score
8,9,Green Bay,0.8,0.3,0.3,0.7,0.9,0.7,2023-02-09,/nfl/stat/punts-per-offensive-score
9,10,Baltimore,0.8,1.0,1.0,0.9,0.7,0.9,2023-02-09,/nfl/stat/punts-per-offensive-score
10,11,Dallas,0.8,2.0,1.3,0.7,1.0,0.7,2023-02-09,/nfl/stat/punts-per-offensive-score
11,12,Seattle,0.9,0.9,1.0,1.0,0.7,1.3,2023-02-09,/nfl/stat/punts-per-offensive-score
12,13,Miami,0.9,1.2,1.0,0.9,0.8,1.3,2023-02-09,/nfl/stat/punts-per-offensive-score
13,14,Atlanta,0.9,0.7,0.5,0.7,1.2,1.1,2023-02-09,/nfl/stat/punts-per-offensive-score
14,15,Cleveland,0.9,1.6,2.0,0.9,0.9,1.1,2023-02-09,/nfl/stat/punts-per-offensive-score
15,16,Minnesota,1.0,0.5,0.8,1.0,0.9,1.0,2023-02-09,/nfl/stat/punts-per-offensive-score
16,17,LA Chargers,1.0,0.9,0.8,1.1,0.9,0.6,2023-02-09,/nfl/stat/punts-per-offensive-score
17,18,Arizona,1.0,1.1,1.5,1.1,1.0,0.7,2023-02-09,/nfl/stat/punts-per-offensive-score
18,19,Chicago,1.1,2.0,1.5,1.1,1.1,1.1,2023-02-09,/nfl/stat/punts-per-offensive-score
19,20,NY Giants,1.1,1.4,5.0,1.1,1.1,1.4,2023-02-09,/nfl/stat/punts-per-offensive-score
20,21,Pittsburgh,1.1,0.7,0.6,1.0,1.2,1.2,2023-02-09,/nfl/stat/punts-per-offensive-score
21,22,New England,1.1,1.4,1.0,1.3,1.0,0.6,2023-02-09,/nfl/stat/punts-per-offensive-score
22,23,Carolina,1.2,1.1,3.0,1.0,1.4,1.3,2023-02-09,/nfl/stat/punts-per-offensive-score
23,24,Indianapolis,1.2,1.1,0.4,0.8,1.6,0.7,2023-02-09,/nfl/stat/punts-per-offensive-score
24,25,LA Rams,1.2,0.7,1.5,0.9,1.6,0.6,2023-02-09,/nfl/stat/punts-per-offensive-score
25,26,New Orleans,1.3,2.1,5.0,1.1,1.5,1.2,2023-02-09,/nfl/stat/punts-per-offensive-score
26,27,Tampa Bay,1.3,1.5,2.5,1.1,1.5,0.7,2023-02-09,/nfl/stat/punts-per-offensive-score
27,28,Washington,1.4,1.3,1.4,1.4,1.3,1.0,2023-02-09,/nfl/stat/punts-per-offensive-score
28,29,NY Jets,1.4,2.6,2.5,1.2,1.6,1.2,2023-02-09,/nfl/stat/punts-per-offensive-score
29,30,Houston,1.5,1.5,0.8,2.0,1.2,1.7,2023-02-09,/nfl/stat/punts-per-offensive-score
30,31,Tennessee,1.7,1.6,0.8,1.4,2.0,0.8,2023-02-09,/nfl/stat/punts-per-offensive-score
31,32,Denver,1.7,1.0,1.0,1.7,1.7,1.1,2023-02-09,/nfl/stat/punts-per-offensive-score
