,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,2.75%,0.68%,0.00%,2.81%,2.69%,3.52%,2022-12-28,/nfl/stat/qb-sacked-pct
1,2,Detroit,3.85%,1.65%,4.55%,3.32%,4.49%,5.72%,2022-12-28,/nfl/stat/qb-sacked-pct
2,3,Kansas City,3.95%,4.31%,3.45%,3.96%,3.95%,4.43%,2022-12-28,/nfl/stat/qb-sacked-pct
3,4,Jacksonville,4.46%,1.71%,3.13%,2.12%,6.17%,5.03%,2022-12-28,/nfl/stat/qb-sacked-pct
4,5,Dallas,4.98%,8.77%,14.63%,5.61%,4.02%,5.21%,2022-12-28,/nfl/stat/qb-sacked-pct
5,6,Las Vegas,5.32%,6.38%,9.09%,4.19%,6.06%,5.93%,2022-12-28,/nfl/stat/qb-sacked-pct
6,7,Green Bay,5.39%,4.81%,5.00%,6.73%,4.55%,5.76%,2022-12-28,/nfl/stat/qb-sacked-pct
7,8,Buffalo,5.40%,6.06%,3.70%,4.52%,5.95%,3.89%,2022-12-28,/nfl/stat/qb-sacked-pct
8,9,San Francisco,5.58%,5.33%,12.00%,5.70%,5.43%,5.92%,2022-12-28,/nfl/stat/qb-sacked-pct
9,10,LA Chargers,5.64%,8.15%,11.43%,5.49%,5.78%,4.40%,2022-12-28,/nfl/stat/qb-sacked-pct
10,11,Miami,5.87%,6.74%,7.41%,7.51%,4.45%,6.11%,2022-12-28,/nfl/stat/qb-sacked-pct
11,12,New Orleans,6.09%,5.97%,0.00%,7.93%,4.51%,6.84%,2022-12-28,/nfl/stat/qb-sacked-pct
12,13,Cleveland,6.10%,6.42%,6.06%,6.57%,5.58%,8.61%,2022-12-28,/nfl/stat/qb-sacked-pct
13,14,Pittsburgh,6.36%,3.16%,0.00%,7.23%,5.65%,5.35%,2022-12-28,/nfl/stat/qb-sacked-pct
14,15,Arizona,6.43%,7.52%,2.13%,6.19%,6.69%,6.16%,2022-12-28,/nfl/stat/qb-sacked-pct
15,16,NY Jets,6.48%,8.73%,8.33%,6.65%,6.30%,8.08%,2022-12-28,/nfl/stat/qb-sacked-pct
16,17,Houston,6.60%,2.22%,3.03%,7.79%,5.59%,7.46%,2022-12-28,/nfl/stat/qb-sacked-pct
17,18,Cincinnati,6.89%,4.62%,3.70%,6.72%,6.99%,9.59%,2022-12-28,/nfl/stat/qb-sacked-pct
18,19,Minnesota,6.93%,9.43%,7.69%,7.03%,6.79%,4.73%,2022-12-28,/nfl/stat/qb-sacked-pct
19,20,Philadelphia,6.94%,4.42%,0.00%,7.62%,6.41%,5.79%,2022-12-28,/nfl/stat/qb-sacked-pct
20,21,Seattle,7.07%,6.25%,4.76%,7.64%,6.50%,8.50%,2022-12-28,/nfl/stat/qb-sacked-pct
21,22,Baltimore,7.24%,7.25%,0.00%,6.31%,8.00%,8.53%,2022-12-28,/nfl/stat/qb-sacked-pct
22,23,Carolina,7.32%,8.00%,0.00%,8.30%,5.98%,7.99%,2022-12-28,/nfl/stat/qb-sacked-pct
23,24,New England,7.34%,4.81%,10.81%,8.41%,6.47%,5.13%,2022-12-28,/nfl/stat/qb-sacked-pct
24,25,Washington,7.65%,8.77%,5.56%,7.84%,7.48%,7.25%,2022-12-28,/nfl/stat/qb-sacked-pct
25,26,Atlanta,8.65%,7.78%,5.71%,4.73%,11.61%,6.53%,2022-12-28,/nfl/stat/qb-sacked-pct
26,27,NY Giants,9.34%,8.62%,6.67%,10.86%,7.63%,6.02%,2022-12-28,/nfl/stat/qb-sacked-pct
27,28,Indianapolis,9.36%,11.61%,19.44%,8.76%,9.88%,5.79%,2022-12-28,/nfl/stat/qb-sacked-pct
28,29,LA Rams,9.50%,9.68%,0.00%,7.94%,12.18%,4.83%,2022-12-28,/nfl/stat/qb-sacked-pct
29,30,Tennessee,9.98%,12.12%,14.81%,6.22%,14.08%,7.91%,2022-12-28,/nfl/stat/qb-sacked-pct
30,31,Denver,10.07%,15.32%,14.63%,10.07%,10.07%,6.88%,2022-12-28,/nfl/stat/qb-sacked-pct
31,32,Chicago,13.19%,9.64%,6.67%,11.96%,14.71%,9.67%,2022-12-28,/nfl/stat/qb-sacked-pct
