,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,1.2,0.7,1.0,1.4,1.0,2.1,2022-12-14,/nfl/stat/qb-sacked-per-game
1,2,Tampa Bay,1.4,1.3,0.0,1.5,1.3,1.6,2022-12-14,/nfl/stat/qb-sacked-per-game
2,3,Detroit,1.5,1.3,0.0,1.3,1.8,2.1,2022-12-14,/nfl/stat/qb-sacked-per-game
3,4,Kansas City,1.6,1.3,2.0,1.8,1.4,1.9,2022-12-14,/nfl/stat/qb-sacked-per-game
4,5,Las Vegas,1.8,0.3,0.0,1.2,2.1,2.4,2022-12-14,/nfl/stat/qb-sacked-per-game
5,5,Jacksonville,1.8,2.0,0.0,0.8,2.4,1.9,2022-12-14,/nfl/stat/qb-sacked-per-game
6,5,San Francisco,1.8,1.7,0.0,1.7,1.8,1.9,2022-12-14,/nfl/stat/qb-sacked-per-game
7,8,Green Bay,1.8,1.3,0.0,2.2,1.6,2.1,2022-12-14,/nfl/stat/qb-sacked-per-game
8,9,Cleveland,2.1,2.3,2.0,2.2,2.0,2.9,2022-12-14,/nfl/stat/qb-sacked-per-game
9,10,Atlanta,2.2,0.7,1.0,1.1,3.3,2.4,2022-12-14,/nfl/stat/qb-sacked-per-game
10,10,New Orleans,2.2,2.3,2.0,2.7,1.7,2.2,2022-12-14,/nfl/stat/qb-sacked-per-game
11,10,Miami,2.2,3.3,2.0,2.8,1.6,2.4,2022-12-14,/nfl/stat/qb-sacked-per-game
12,10,Buffalo,2.2,2.7,3.0,1.6,2.5,1.5,2022-12-14,/nfl/stat/qb-sacked-per-game
13,10,Carolina,2.2,2.0,2.0,2.4,1.8,3.1,2022-12-14,/nfl/stat/qb-sacked-per-game
14,15,Baltimore,2.3,2.3,2.0,2.2,2.4,3.4,2022-12-14,/nfl/stat/qb-sacked-per-game
15,16,NY Jets,2.4,2.0,4.0,2.3,2.4,3.1,2022-12-14,/nfl/stat/qb-sacked-per-game
16,16,LA Chargers,2.4,4.3,4.0,2.5,2.3,1.8,2022-12-14,/nfl/stat/qb-sacked-per-game
17,18,Houston,2.5,1.7,0.0,3.0,2.1,2.6,2022-12-14,/nfl/stat/qb-sacked-per-game
18,18,New England,2.5,1.7,1.0,2.5,2.6,1.7,2022-12-14,/nfl/stat/qb-sacked-per-game
19,20,Pittsburgh,2.6,1.7,2.0,3.0,2.3,2.2,2022-12-14,/nfl/stat/qb-sacked-per-game
20,20,Seattle,2.6,3.3,3.0,3.0,2.3,2.7,2022-12-14,/nfl/stat/qb-sacked-per-game
21,20,Philadelphia,2.6,2.7,4.0,2.4,2.8,1.8,2022-12-14,/nfl/stat/qb-sacked-per-game
22,20,Minnesota,2.6,2.3,4.0,2.3,3.0,1.8,2022-12-14,/nfl/stat/qb-sacked-per-game
23,24,Tennessee,2.7,3.7,4.0,1.7,3.6,2.7,2022-12-14,/nfl/stat/qb-sacked-per-game
24,25,Washington,2.8,1.7,5.0,2.8,2.9,2.5,2022-12-14,/nfl/stat/qb-sacked-per-game
25,25,Arizona,2.8,3.3,6.0,2.9,2.8,2.3,2022-12-14,/nfl/stat/qb-sacked-per-game
26,27,Cincinnati,2.9,1.3,2.0,2.7,3.1,3.5,2022-12-14,/nfl/stat/qb-sacked-per-game
27,28,Chicago,3.2,2.0,0.0,2.8,3.6,3.4,2022-12-14,/nfl/stat/qb-sacked-per-game
28,29,Denver,3.4,3.7,6.0,3.5,3.3,2.4,2022-12-14,/nfl/stat/qb-sacked-per-game
29,29,NY Giants,3.4,4.7,7.0,3.6,3.0,2.2,2022-12-14,/nfl/stat/qb-sacked-per-game
30,31,LA Rams,3.5,3.7,4.0,3.4,3.8,1.8,2022-12-14,/nfl/stat/qb-sacked-per-game
31,31,Indianapolis,3.5,3.3,3.0,2.8,4.1,1.9,2022-12-14,/nfl/stat/qb-sacked-per-game
