,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,92.31%,100.00%,100.00%,83.33%,100.00%,62.50%,2022-10-11,/nfl/stat/red-zone-scoring-pct
1,2,New Orleans,80.00%,80.00%,100.00%,80.00%,80.00%,58.93%,2022-10-11,/nfl/stat/red-zone-scoring-pct
2,3,Kansas City,78.26%,78.57%,100.00%,71.43%,81.25%,62.20%,2022-10-11,/nfl/stat/red-zone-scoring-pct
3,4,Detroit,75.00%,70.00%,0.00%,85.71%,50.00%,46.67%,2022-10-11,/nfl/stat/red-zone-scoring-pct
4,5,NY Jets,70.59%,72.73%,83.33%,60.00%,85.71%,54.90%,2022-10-11,/nfl/stat/red-zone-scoring-pct
5,6,Miami,66.67%,66.67%,66.67%,60.00%,70.00%,61.22%,2022-10-11,/nfl/stat/red-zone-scoring-pct
6,7,Baltimore,64.71%,66.67%,33.33%,50.00%,85.71%,60.71%,2022-10-11,/nfl/stat/red-zone-scoring-pct
7,8,Philadelphia,61.90%,57.14%,50.00%,62.50%,61.54%,62.90%,2022-10-11,/nfl/stat/red-zone-scoring-pct
8,9,Atlanta,61.11%,70.00%,100.00%,50.00%,70.00%,53.70%,2022-10-11,/nfl/stat/red-zone-scoring-pct
9,9,Green Bay,61.11%,70.00%,66.67%,66.67%,55.56%,57.53%,2022-10-11,/nfl/stat/red-zone-scoring-pct
10,11,Cleveland,60.00%,63.64%,75.00%,76.92%,28.57%,62.00%,2022-10-11,/nfl/stat/red-zone-scoring-pct
11,11,Houston,60.00%,62.50%,100.00%,75.00%,50.00%,51.35%,2022-10-11,/nfl/stat/red-zone-scoring-pct
12,13,Washington,58.33%,28.57%,0.00%,50.00%,66.67%,52.00%,2022-10-11,/nfl/stat/red-zone-scoring-pct
13,13,Chicago,58.33%,50.00%,100.00%,80.00%,42.86%,47.92%,2022-10-11,/nfl/stat/red-zone-scoring-pct
14,13,NY Giants,58.33%,66.67%,75.00%,40.00%,71.43%,44.74%,2022-10-11,/nfl/stat/red-zone-scoring-pct
15,16,Minnesota,57.89%,75.00%,100.00%,80.00%,33.33%,62.26%,2022-10-11,/nfl/stat/red-zone-scoring-pct
16,17,San Francisco,57.14%,83.33%,100.00%,33.33%,75.00%,64.41%,2022-10-11,/nfl/stat/red-zone-scoring-pct
17,17,Tampa Bay,57.14%,70.00%,40.00%,70.00%,25.00%,65.79%,2022-10-11,/nfl/stat/red-zone-scoring-pct
18,19,Arizona,56.25%,33.33%,50.00%,57.14%,55.56%,60.61%,2022-10-11,/nfl/stat/red-zone-scoring-pct
19,19,Cincinnati,56.25%,60.00%,66.67%,50.00%,62.50%,54.55%,2022-10-11,/nfl/stat/red-zone-scoring-pct
20,21,Buffalo,55.56%,45.45%,25.00%,44.44%,66.67%,66.28%,2022-10-11,/nfl/stat/red-zone-scoring-pct
21,22,LA Chargers,52.38%,46.15%,40.00%,50.00%,53.33%,64.00%,2022-10-11,/nfl/stat/red-zone-scoring-pct
22,23,Las Vegas,47.37%,41.67%,100.00%,44.44%,50.00%,49.23%,2022-10-11,/nfl/stat/red-zone-scoring-pct
23,23,Jacksonville,47.37%,41.67%,0.00%,40.00%,50.00%,51.28%,2022-10-11,/nfl/stat/red-zone-scoring-pct
24,25,Pittsburgh,46.15%,44.44%,0.00%,75.00%,33.33%,54.72%,2022-10-11,/nfl/stat/red-zone-scoring-pct
25,26,Dallas,45.45%,33.33%,0.00%,60.00%,33.33%,63.64%,2022-10-11,/nfl/stat/red-zone-scoring-pct
26,27,Carolina,41.67%,40.00%,33.33%,50.00%,25.00%,53.19%,2022-10-11,/nfl/stat/red-zone-scoring-pct
27,28,New England,40.00%,36.36%,0.00%,33.33%,50.00%,63.08%,2022-10-11,/nfl/stat/red-zone-scoring-pct
28,28,LA Rams,40.00%,12.50%,0.00%,55.56%,16.67%,59.09%,2022-10-11,/nfl/stat/red-zone-scoring-pct
29,28,Indianapolis,40.00%,50.00%,0.00%,66.67%,22.22%,56.25%,2022-10-11,/nfl/stat/red-zone-scoring-pct
30,31,Seattle,38.46%,50.00%,0.00%,28.57%,50.00%,64.58%,2022-10-11,/nfl/stat/red-zone-scoring-pct
31,32,Denver,21.43%,37.50%,0.00%,14.29%,28.57%,54.72%,2022-10-11,/nfl/stat/red-zone-scoring-pct
