,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,59.85%,59.79%,62.12%,60.00%,59.72%,44.19%,2022-11-23,/nfl/stat/rushing-play-pct
1,2,Atlanta,56.58%,53.76%,62.26%,60.22%,51.81%,39.07%,2022-11-23,/nfl/stat/rushing-play-pct
2,3,Tennessee,53.43%,48.84%,50.00%,47.84%,57.27%,48.78%,2022-11-23,/nfl/stat/rushing-play-pct
3,4,NY Giants,51.69%,49.75%,36.11%,51.63%,51.79%,39.90%,2022-11-23,/nfl/stat/rushing-play-pct
4,5,Philadelphia,50.85%,49.41%,54.10%,52.08%,49.70%,49.87%,2022-11-23,/nfl/stat/rushing-play-pct
5,6,Baltimore,49.27%,50.24%,45.45%,51.95%,46.60%,43.63%,2022-11-23,/nfl/stat/rushing-play-pct
6,7,Dallas,47.51%,48.54%,57.14%,45.61%,49.24%,40.39%,2022-11-23,/nfl/stat/rushing-play-pct
7,8,Cleveland,47.31%,47.24%,38.24%,49.85%,44.71%,46.02%,2022-11-23,/nfl/stat/rushing-play-pct
8,9,New England,47.03%,44.90%,44.07%,47.22%,46.86%,45.73%,2022-11-23,/nfl/stat/rushing-play-pct
9,10,San Francisco,46.29%,51.40%,49.12%,49.43%,43.93%,48.39%,2022-11-23,/nfl/stat/rushing-play-pct
10,11,Detroit,45.12%,55.31%,58.73%,41.37%,48.74%,40.44%,2022-11-23,/nfl/stat/rushing-play-pct
11,12,Washington,44.32%,56.94%,59.70%,40.30%,47.65%,44.58%,2022-11-23,/nfl/stat/rushing-play-pct
12,13,Carolina,43.95%,49.40%,31.48%,45.43%,42.12%,41.14%,2022-11-23,/nfl/stat/rushing-play-pct
13,14,Jacksonville,42.90%,43.81%,26.23%,44.32%,41.85%,38.13%,2022-11-23,/nfl/stat/rushing-play-pct
14,15,Seattle,42.01%,40.11%,28.00%,39.43%,43.86%,43.29%,2022-11-23,/nfl/stat/rushing-play-pct
15,16,New Orleans,41.31%,36.00%,42.86%,45.65%,35.71%,48.53%,2022-11-23,/nfl/stat/rushing-play-pct
16,17,Denver,40.99%,41.33%,45.16%,43.15%,38.54%,43.92%,2022-11-23,/nfl/stat/rushing-play-pct
17,18,Green Bay,40.99%,43.92%,32.20%,46.32%,36.19%,41.39%,2022-11-23,/nfl/stat/rushing-play-pct
18,19,NY Jets,40.06%,42.86%,46.94%,36.06%,44.64%,36.68%,2022-11-23,/nfl/stat/rushing-play-pct
19,20,Pittsburgh,39.36%,41.94%,35.29%,45.71%,33.03%,36.56%,2022-11-23,/nfl/stat/rushing-play-pct
20,21,Buffalo,39.23%,42.05%,53.23%,39.18%,39.26%,40.79%,2022-11-23,/nfl/stat/rushing-play-pct
21,22,Miami,38.65%,44.57%,49.25%,40.00%,37.34%,40.29%,2022-11-23,/nfl/stat/rushing-play-pct
22,23,Houston,38.45%,39.18%,29.63%,38.16%,38.72%,41.58%,2022-11-23,/nfl/stat/rushing-play-pct
23,24,Cincinnati,37.50%,39.04%,36.92%,42.03%,33.80%,40.52%,2022-11-23,/nfl/stat/rushing-play-pct
24,25,Arizona,37.42%,36.04%,33.80%,35.63%,38.82%,43.56%,2022-11-23,/nfl/stat/rushing-play-pct
25,26,Indianapolis,37.29%,43.09%,41.94%,37.58%,37.06%,47.43%,2022-11-23,/nfl/stat/rushing-play-pct
26,27,Las Vegas,36.63%,36.61%,38.71%,43.31%,31.82%,37.12%,2022-11-23,/nfl/stat/rushing-play-pct
27,28,Kansas City,36.36%,33.95%,43.55%,31.16%,41.80%,37.64%,2022-11-23,/nfl/stat/rushing-play-pct
28,29,LA Rams,36.35%,41.81%,48.39%,34.68%,38.98%,40.69%,2022-11-23,/nfl/stat/rushing-play-pct
29,30,Minnesota,35.71%,32.32%,31.48%,40.12%,31.25%,41.46%,2022-11-23,/nfl/stat/rushing-play-pct
30,31,LA Chargers,35.22%,37.23%,46.15%,32.94%,37.54%,37.50%,2022-11-23,/nfl/stat/rushing-play-pct
31,32,Tampa Bay,33.93%,36.74%,59.46%,23.35%,44.48%,33.54%,2022-11-23,/nfl/stat/rushing-play-pct
