,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,195.4,245.0,252.0,217.3,178.0,118.7,2022-11-09,/nfl/stat/rushing-yards-per-game
1,2,Baltimore,168.1,193.0,188.0,158.0,176.2,145.8,2022-11-09,/nfl/stat/rushing-yards-per-game
2,3,Cleveland,164.6,118.3,172.0,162.0,169.0,145.4,2022-11-09,/nfl/stat/rushing-yards-per-game
3,4,Atlanta,162.9,158.3,201.0,187.8,131.8,85.4,2022-11-09,/nfl/stat/rushing-yards-per-game
4,5,NY Giants,161.5,132.3,78.0,153.8,169.3,99.3,2022-11-09,/nfl/stat/rushing-yards-per-game
5,6,Philadelphia,148.8,130.0,143.0,155.0,142.5,156.1,2022-11-09,/nfl/stat/rushing-yards-per-game
6,7,Jacksonville,146.8,167.0,168.0,135.5,155.8,103.2,2022-11-09,/nfl/stat/rushing-yards-per-game
7,8,Tennessee,142.3,208.0,172.0,113.3,159.6,141.3,2022-11-09,/nfl/stat/rushing-yards-per-game
8,9,Detroit,134.1,105.3,117.0,143.2,119.0,110.9,2022-11-09,/nfl/stat/rushing-yards-per-game
9,10,Seattle,133.8,152.7,158.0,102.8,158.6,122.0,2022-11-09,/nfl/stat/rushing-yards-per-game
10,11,Dallas,131.5,157.7,200.0,115.8,157.7,122.0,2022-11-09,/nfl/stat/rushing-yards-per-game
11,12,New Orleans,130.9,89.7,48.0,149.4,107.8,117.1,2022-11-09,/nfl/stat/rushing-yards-per-game
12,13,Buffalo,124.3,137.3,134.0,124.7,124.0,131.2,2022-11-09,/nfl/stat/rushing-yards-per-game
13,14,Green Bay,120.7,117.3,106.0,154.0,104.0,109.3,2022-11-09,/nfl/stat/rushing-yards-per-game
14,15,San Francisco,119.5,87.3,111.0,126.0,115.6,124.6,2022-11-09,/nfl/stat/rushing-yards-per-game
15,16,New England,117.2,89.0,70.0,115.3,118.8,124.4,2022-11-09,/nfl/stat/rushing-yards-per-game
16,17,Arizona,117.0,112.3,122.0,111.2,124.3,118.7,2022-11-09,/nfl/stat/rushing-yards-per-game
17,18,NY Jets,116.0,126.7,174.0,103.8,131.3,98.1,2022-11-09,/nfl/stat/rushing-yards-per-game
18,19,Las Vegas,110.3,91.7,73.0,152.0,85.2,95.6,2022-11-09,/nfl/stat/rushing-yards-per-game
19,20,Denver,108.4,101.3,101.0,120.0,96.8,119.1,2022-11-09,/nfl/stat/rushing-yards-per-game
20,21,Washington,108.0,133.0,137.0,103.6,113.5,121.2,2022-11-09,/nfl/stat/rushing-yards-per-game
21,22,Carolina,105.3,135.3,64.0,95.2,118.0,108.4,2022-11-09,/nfl/stat/rushing-yards-per-game
22,23,Kansas City,103.5,85.7,77.0,85.3,121.8,119.1,2022-11-09,/nfl/stat/rushing-yards-per-game
23,24,Minnesota,102.0,102.3,56.0,134.8,69.3,113.5,2022-11-09,/nfl/stat/rushing-yards-per-game
24,25,Houston,101.9,106.3,168.0,104.8,99.0,83.6,2022-11-09,/nfl/stat/rushing-yards-per-game
25,26,Cincinnati,98.8,118.3,241.0,129.8,74.0,99.3,2022-11-09,/nfl/stat/rushing-yards-per-game
26,27,Pittsburgh,94.9,105.3,144.0,95.7,94.4,91.1,2022-11-09,/nfl/stat/rushing-yards-per-game
27,28,LA Chargers,89.1,72.3,91.0,57.0,121.3,107.9,2022-11-09,/nfl/stat/rushing-yards-per-game
28,29,Miami,86.9,98.3,77.0,72.5,98.4,92.2,2022-11-09,/nfl/stat/rushing-yards-per-game
29,30,Indianapolis,86.7,92.7,78.0,75.0,96.0,149.4,2022-11-09,/nfl/stat/rushing-yards-per-game
30,31,LA Rams,68.4,78.3,68.0,64.4,75.0,95.7,2022-11-09,/nfl/stat/rushing-yards-per-game
31,32,Tampa Bay,60.7,47.0,51.0,40.2,86.3,96.3,2022-11-09,/nfl/stat/rushing-yards-per-game
