,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,4.1,6.3,6.0,3.4,4.6,1.8,2022-12-28,/nfl/stat/sacks-per-game
1,2,New England,3.3,3.7,2.0,3.9,2.9,2.0,2022-12-28,/nfl/stat/sacks-per-game
2,3,Dallas,3.3,0.3,0.0,2.8,4.0,2.3,2022-12-28,/nfl/stat/sacks-per-game
3,4,Kansas City,3.0,3.0,2.0,2.6,3.4,1.8,2022-12-28,/nfl/stat/sacks-per-game
4,5,Baltimore,2.9,2.3,2.0,2.6,3.3,2.0,2022-12-28,/nfl/stat/sacks-per-game
5,6,Indianapolis,2.9,4.0,4.0,2.9,2.9,1.9,2022-12-28,/nfl/stat/sacks-per-game
6,7,San Francisco,2.7,1.7,2.0,2.4,3.1,3.0,2022-12-28,/nfl/stat/sacks-per-game
7,7,Tampa Bay,2.7,1.0,1.0,2.9,2.6,2.7,2022-12-28,/nfl/stat/sacks-per-game
8,9,New Orleans,2.7,2.3,2.0,3.1,2.3,2.7,2022-12-28,/nfl/stat/sacks-per-game
9,9,NY Jets,2.7,1.3,1.0,2.5,2.9,1.9,2022-12-28,/nfl/stat/sacks-per-game
10,11,Buffalo,2.6,2.7,2.0,2.8,2.4,2.5,2022-12-28,/nfl/stat/sacks-per-game
11,12,Washington,2.5,2.3,3.0,1.9,3.0,2.2,2022-12-28,/nfl/stat/sacks-per-game
12,12,Miami,2.5,2.7,2.0,3.0,2.0,2.8,2022-12-28,/nfl/stat/sacks-per-game
13,12,Tennessee,2.5,1.3,1.0,2.4,2.5,2.9,2022-12-28,/nfl/stat/sacks-per-game
14,15,NY Giants,2.4,3.7,4.0,2.9,1.9,2.0,2022-12-28,/nfl/stat/sacks-per-game
15,15,Seattle,2.4,1.3,1.0,2.9,2.0,2.0,2022-12-28,/nfl/stat/sacks-per-game
16,15,Minnesota,2.4,2.0,3.0,2.2,2.7,3.0,2022-12-28,/nfl/stat/sacks-per-game
17,18,Houston,2.3,2.3,4.0,1.9,2.8,1.9,2022-12-28,/nfl/stat/sacks-per-game
18,18,Denver,2.3,1.7,0.0,3.1,1.6,2.1,2022-12-28,/nfl/stat/sacks-per-game
19,18,LA Chargers,2.3,4.3,7.0,2.7,2.0,2.1,2022-12-28,/nfl/stat/sacks-per-game
20,18,LA Rams,2.3,3.0,6.0,2.8,1.7,3.0,2022-12-28,/nfl/stat/sacks-per-game
21,22,Pittsburgh,2.1,3.0,3.0,1.7,2.5,3.2,2022-12-28,/nfl/stat/sacks-per-game
22,23,Arizona,2.1,2.7,0.0,1.3,3.0,2.3,2022-12-28,/nfl/stat/sacks-per-game
23,23,Carolina,2.1,2.0,2.0,1.9,2.3,2.3,2022-12-28,/nfl/stat/sacks-per-game
24,23,Green Bay,2.1,2.3,2.0,3.2,1.3,2.4,2022-12-28,/nfl/stat/sacks-per-game
25,26,Detroit,2.0,2.7,0.0,2.3,1.7,1.8,2022-12-28,/nfl/stat/sacks-per-game
26,26,Cleveland,2.0,1.7,0.0,2.1,1.9,2.5,2022-12-28,/nfl/stat/sacks-per-game
27,28,Jacksonville,1.9,3.3,3.0,2.2,1.8,1.9,2022-12-28,/nfl/stat/sacks-per-game
28,29,Cincinnati,1.7,2.3,4.0,1.5,1.9,2.5,2022-12-28,/nfl/stat/sacks-per-game
29,30,Las Vegas,1.7,1.3,0.0,1.8,1.6,2.1,2022-12-28,/nfl/stat/sacks-per-game
30,31,Atlanta,1.3,0.7,0.0,1.4,1.1,1.1,2022-12-28,/nfl/stat/sacks-per-game
31,32,Chicago,1.2,0.7,1.0,1.3,1.1,2.9,2022-12-28,/nfl/stat/sacks-per-game
