,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Arizona,24.1,24.1,24.1,24.1,0,28.2,2022-09-13,/nfl/stat/seconds-per-play
1,2,NY Jets,24.7,24.7,24.7,24.7,0,27.4,2022-09-13,/nfl/stat/seconds-per-play
2,3,Dallas,25.6,25.6,25.6,25.6,0,26.9,2022-09-13,/nfl/stat/seconds-per-play
3,4,Detroit,25.8,25.8,25.8,25.8,0,28.2,2022-09-13,/nfl/stat/seconds-per-play
4,5,Pittsburgh,25.9,25.9,25.9,0,25.9,27.5,2022-09-13,/nfl/stat/seconds-per-play
5,6,Carolina,25.9,25.9,25.9,25.9,0,28.3,2022-09-13,/nfl/stat/seconds-per-play
6,7,LA Rams,26.2,26.2,26.2,26.2,0,28.5,2022-09-13,/nfl/stat/seconds-per-play
7,8,Jacksonville,26.2,26.2,26.2,0,26.2,27.1,2022-09-13,/nfl/stat/seconds-per-play
8,9,Philadelphia,26.3,26.3,26.3,0,26.3,28.3,2022-09-13,/nfl/stat/seconds-per-play
9,10,Indianapolis,26.4,26.4,26.4,0,26.4,31.1,2022-09-13,/nfl/stat/seconds-per-play
10,11,Houston,26.8,26.8,26.8,26.8,0,28.5,2022-09-13,/nfl/stat/seconds-per-play
11,12,New Orleans,27.6,27.6,27.6,0,27.6,29.7,2022-09-13,/nfl/stat/seconds-per-play
12,13,Cincinnati,27.9,27.9,27.9,27.9,0,30.7,2022-09-13,/nfl/stat/seconds-per-play
13,14,Green Bay,28.1,28.1,28.1,0,28.1,31.5,2022-09-13,/nfl/stat/seconds-per-play
14,15,Washington,28.2,28.2,28.2,28.2,0,29.3,2022-09-13,/nfl/stat/seconds-per-play
15,16,Chicago,28.4,28.4,28.4,28.4,0,28.8,2022-09-13,/nfl/stat/seconds-per-play
16,17,Atlanta,28.5,28.5,28.5,28.5,0,28.6,2022-09-13,/nfl/stat/seconds-per-play
17,18,Las Vegas,29.4,29.4,29.4,0,29.4,28.9,2022-09-13,/nfl/stat/seconds-per-play
18,19,NY Giants,29.9,29.9,29.9,0,29.9,27.9,2022-09-13,/nfl/stat/seconds-per-play
19,20,San Francisco,30.0,30.0,30.0,0,30.0,30.6,2022-09-13,/nfl/stat/seconds-per-play
20,21,LA Chargers,30.0,30.0,30.0,30.0,0,26.7,2022-09-13,/nfl/stat/seconds-per-play
21,22,New England,30.6,30.6,30.6,0,30.6,29.6,2022-09-13,/nfl/stat/seconds-per-play
22,23,Minnesota,30.9,30.9,30.9,30.9,0,27.9,2022-09-13,/nfl/stat/seconds-per-play
23,24,Tennessee,31.1,31.1,31.1,31.1,0,30.0,2022-09-13,/nfl/stat/seconds-per-play
24,25,Baltimore,31.1,31.1,31.1,0,31.1,28.6,2022-09-13,/nfl/stat/seconds-per-play
25,26,Cleveland,31.2,31.2,31.2,0,31.2,29.8,2022-09-13,/nfl/stat/seconds-per-play
26,27,Kansas City,31.5,31.5,31.5,0,31.5,27.9,2022-09-13,/nfl/stat/seconds-per-play
27,28,Denver,31.5,31.5,31.5,0,31.5,30.3,2022-09-13,/nfl/stat/seconds-per-play
28,29,Tampa Bay,31.6,31.6,31.6,0,31.6,27.0,2022-09-13,/nfl/stat/seconds-per-play
29,30,Seattle,32.3,32.3,32.3,32.3,0,27.3,2022-09-13,/nfl/stat/seconds-per-play
30,31,Buffalo,32.3,32.3,32.3,0,32.3,28.5,2022-09-13,/nfl/stat/seconds-per-play
31,32,Miami,33.1,33.1,33.1,33.1,0,28.4,2022-09-13,/nfl/stat/seconds-per-play
