,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Minnesota,44.9,46.3,43.0,44.7,45.3,41.8,2022-12-28,/nfl/stat/solo-tackles-per-game
1,2,Houston,43.9,47.7,46.0,45.3,42.8,40.5,2022-12-28,/nfl/stat/solo-tackles-per-game
2,3,Seattle,43.1,36.0,27.0,43.1,43.0,44.6,2022-12-28,/nfl/stat/solo-tackles-per-game
3,4,Detroit,42.1,39.3,40.0,42.8,41.3,39.0,2022-12-28,/nfl/stat/solo-tackles-per-game
4,5,Indianapolis,41.9,42.3,41.0,39.9,43.6,40.8,2022-12-28,/nfl/stat/solo-tackles-per-game
5,6,Dallas,41.7,41.3,40.0,41.8,41.5,37.7,2022-12-28,/nfl/stat/solo-tackles-per-game
6,7,Tennessee,40.7,41.7,40.0,41.7,39.9,38.2,2022-12-28,/nfl/stat/solo-tackles-per-game
7,8,Miami,40.5,45.3,43.0,40.6,40.4,37.8,2022-12-28,/nfl/stat/solo-tackles-per-game
8,9,Arizona,40.3,42.7,55.0,42.5,37.7,38.3,2022-12-28,/nfl/stat/solo-tackles-per-game
9,10,Buffalo,40.1,42.0,45.0,42.7,38.4,38.1,2022-12-28,/nfl/stat/solo-tackles-per-game
10,11,Jacksonville,40.1,42.3,35.0,39.7,40.3,39.1,2022-12-28,/nfl/stat/solo-tackles-per-game
11,12,New Orleans,39.7,42.3,39.0,36.7,42.3,37.7,2022-12-28,/nfl/stat/solo-tackles-per-game
12,13,NY Jets,39.6,40.3,44.0,38.9,40.4,41.7,2022-12-28,/nfl/stat/solo-tackles-per-game
13,13,Carolina,39.6,36.0,35.0,37.6,42.7,36.6,2022-12-28,/nfl/stat/solo-tackles-per-game
14,15,Las Vegas,39.5,37.7,44.0,36.2,41.7,38.4,2022-12-28,/nfl/stat/solo-tackles-per-game
15,16,Philadelphia,39.1,43.0,47.0,35.0,42.8,36.8,2022-12-28,/nfl/stat/solo-tackles-per-game
16,17,Baltimore,39.1,39.7,40.0,37.9,40.1,36.2,2022-12-28,/nfl/stat/solo-tackles-per-game
17,18,Chicago,38.9,40.0,35.0,39.1,38.7,37.2,2022-12-28,/nfl/stat/solo-tackles-per-game
18,19,NY Giants,38.9,41.3,42.0,38.8,39.0,39.1,2022-12-28,/nfl/stat/solo-tackles-per-game
19,20,Tampa Bay,38.8,37.7,44.0,39.9,37.9,40.3,2022-12-28,/nfl/stat/solo-tackles-per-game
20,21,Denver,38.5,37.0,47.0,32.6,43.8,35.6,2022-12-28,/nfl/stat/solo-tackles-per-game
21,22,New England,38.3,43.7,54.0,39.6,37.3,38.2,2022-12-28,/nfl/stat/solo-tackles-per-game
22,22,Kansas City,38.3,37.0,43.0,36.1,40.3,37.8,2022-12-28,/nfl/stat/solo-tackles-per-game
23,24,San Francisco,37.8,42.7,46.0,36.3,39.6,37.9,2022-12-28,/nfl/stat/solo-tackles-per-game
24,24,LA Chargers,37.8,32.0,30.0,39.3,36.5,40.2,2022-12-28,/nfl/stat/solo-tackles-per-game
25,26,LA Rams,37.7,39.3,36.0,35.9,40.3,39.6,2022-12-28,/nfl/stat/solo-tackles-per-game
26,27,Green Bay,37.6,31.7,30.0,38.0,37.3,37.9,2022-12-28,/nfl/stat/solo-tackles-per-game
27,28,Atlanta,37.5,32.3,34.0,37.3,37.6,39.6,2022-12-28,/nfl/stat/solo-tackles-per-game
28,29,Cincinnati,36.9,37.7,31.0,35.8,37.7,38.7,2022-12-28,/nfl/stat/solo-tackles-per-game
29,30,Cleveland,36.7,36.0,38.0,37.3,36.0,37.8,2022-12-28,/nfl/stat/solo-tackles-per-game
30,31,Pittsburgh,36.0,32.0,32.0,34.9,37.0,42.1,2022-12-28,/nfl/stat/solo-tackles-per-game
31,32,Washington,35.8,40.3,34.0,35.6,36.0,37.3,2022-12-28,/nfl/stat/solo-tackles-per-game
