,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Carolina,65.5,66.3,73.0,62.0,71.3,58.5,2022-11-02,/nfl/stat/tackles-per-game
1,2,Atlanta,64.6,63.7,65.0,63.5,65.8,65.9,2022-11-02,/nfl/stat/tackles-per-game
2,3,Houston,63.9,57.3,65.0,73.0,57.0,64.6,2022-11-02,/nfl/stat/tackles-per-game
3,4,Seattle,63.8,61.0,56.0,61.3,66.3,72.4,2022-11-02,/nfl/stat/tackles-per-game
4,5,Minnesota,63.1,57.7,59.0,61.5,65.3,66.7,2022-11-02,/nfl/stat/tackles-per-game
5,6,NY Jets,63.1,66.7,73.0,59.5,66.8,66.0,2022-11-02,/nfl/stat/tackles-per-game
6,7,Dallas,63.0,68.0,74.0,65.0,59.7,57.8,2022-11-02,/nfl/stat/tackles-per-game
7,8,Las Vegas,62.6,63.7,68.0,61.3,63.5,63.1,2022-11-02,/nfl/stat/tackles-per-game
8,9,Denver,62.4,65.0,63.0,58.3,66.5,56.9,2022-11-02,/nfl/stat/tackles-per-game
9,9,Indianapolis,62.4,66.3,68.0,60.8,64.0,58.9,2022-11-02,/nfl/stat/tackles-per-game
10,11,Kansas City,62.3,62.7,69.0,62.3,62.3,59.0,2022-11-02,/nfl/stat/tackles-per-game
11,12,Pittsburgh,62.3,56.3,47.0,64.3,61.0,63.3,2022-11-02,/nfl/stat/tackles-per-game
12,13,Jacksonville,61.9,69.0,63.0,58.7,63.8,62.6,2022-11-02,/nfl/stat/tackles-per-game
13,14,Tampa Bay,61.6,61.7,72.0,67.3,56.0,57.5,2022-11-02,/nfl/stat/tackles-per-game
14,15,Detroit,61.3,59.7,59.0,63.0,59.0,62.6,2022-11-02,/nfl/stat/tackles-per-game
15,16,Chicago,61.1,48.7,52.0,59.3,62.2,58.0,2022-11-02,/nfl/stat/tackles-per-game
16,17,Miami,60.8,59.3,55.0,66.3,55.3,60.1,2022-11-02,/nfl/stat/tackles-per-game
17,18,New England,60.4,59.3,48.0,65.3,57.4,59.1,2022-11-02,/nfl/stat/tackles-per-game
18,19,Cincinnati,60.1,66.7,79.0,51.7,65.2,60.8,2022-11-02,/nfl/stat/tackles-per-game
19,20,LA Rams,59.4,57.7,62.0,59.0,60.5,64.0,2022-11-02,/nfl/stat/tackles-per-game
20,21,Arizona,59.4,62.7,60.0,60.5,58.3,58.4,2022-11-02,/nfl/stat/tackles-per-game
21,22,Tennessee,58.7,55.3,44.0,64.3,54.5,56.8,2022-11-02,/nfl/stat/tackles-per-game
22,23,San Francisco,58.6,58.3,55.0,53.0,62.0,60.2,2022-11-02,/nfl/stat/tackles-per-game
23,24,Buffalo,57.6,62.3,68.0,61.3,54.8,55.6,2022-11-02,/nfl/stat/tackles-per-game
24,25,Green Bay,57.4,61.0,49.0,54.3,59.2,54.2,2022-11-02,/nfl/stat/tackles-per-game
25,26,NY Giants,57.3,52.7,58.0,58.0,56.5,68.1,2022-11-02,/nfl/stat/tackles-per-game
26,26,Baltimore,57.3,57.0,49.0,56.0,58.5,55.8,2022-11-02,/nfl/stat/tackles-per-game
27,28,LA Chargers,57.1,58.3,60.0,58.5,55.3,63.4,2022-11-02,/nfl/stat/tackles-per-game
28,29,Philadelphia,56.3,62.3,70.0,53.5,60.0,65.5,2022-11-02,/nfl/stat/tackles-per-game
29,30,New Orleans,55.9,50.0,47.0,50.3,61.5,58.1,2022-11-02,/nfl/stat/tackles-per-game
30,31,Washington,55.8,55.3,55.0,54.0,57.5,60.4,2022-11-02,/nfl/stat/tackles-per-game
31,32,Cleveland,53.6,58.3,50.0,55.0,51.3,58.8,2022-11-02,/nfl/stat/tackles-per-game
