,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,100.00%,100.00%,100.00%,100.00%,100.00%,36.36%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
1,2,New Orleans,75.00%,100.00%,0,100.00%,66.67%,43.75%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
2,2,Minnesota,75.00%,66.67%,100.00%,100.00%,66.67%,53.33%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
3,4,Indianapolis,66.67%,50.00%,0,50.00%,100.00%,53.85%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
4,5,Green Bay,60.00%,60.00%,100.00%,50.00%,66.67%,42.11%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
5,5,Cincinnati,60.00%,75.00%,0,0.00%,75.00%,36.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
6,7,Seattle,57.14%,40.00%,100.00%,75.00%,33.33%,36.84%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
7,8,Philadelphia,55.56%,62.50%,80.00%,66.67%,33.33%,23.53%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
8,9,NY Giants,54.55%,55.56%,50.00%,55.56%,50.00%,41.18%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
9,10,Pittsburgh,50.00%,0,0,0,50.00%,40.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
10,10,Detroit,50.00%,50.00%,100.00%,50.00%,50.00%,47.06%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
11,10,San Francisco,50.00%,50.00%,100.00%,100.00%,0.00%,33.33%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
12,10,Tennessee,50.00%,50.00%,66.67%,33.33%,66.67%,28.57%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
13,10,Tampa Bay,50.00%,50.00%,0,50.00%,50.00%,54.84%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
14,10,New England,50.00%,75.00%,50.00%,100.00%,40.00%,50.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
15,10,Buffalo,50.00%,66.67%,0,66.67%,0.00%,45.83%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
16,10,LA Rams,50.00%,25.00%,0.00%,75.00%,0.00%,31.82%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
17,18,Miami,42.86%,20.00%,0,50.00%,0.00%,60.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
18,18,Kansas City,42.86%,75.00%,100.00%,0,42.86%,53.57%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
19,18,Baltimore,42.86%,40.00%,50.00%,50.00%,40.00%,46.15%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
20,21,Jacksonville,40.00%,25.00%,0.00%,0.00%,66.67%,16.67%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
21,21,Arizona,40.00%,60.00%,50.00%,33.33%,50.00%,50.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
22,23,Denver,37.50%,40.00%,0,40.00%,33.33%,50.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
23,24,Las Vegas,33.33%,50.00%,100.00%,100.00%,0.00%,42.86%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
24,25,Chicago,30.00%,25.00%,50.00%,20.00%,40.00%,40.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
25,26,Houston,22.22%,25.00%,50.00%,28.57%,0.00%,32.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
26,27,NY Jets,20.00%,25.00%,0.00%,33.33%,0.00%,26.92%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
27,27,Cleveland,20.00%,40.00%,0.00%,50.00%,0.00%,25.00%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
28,29,Carolina,16.67%,20.00%,0.00%,16.67%,0,26.92%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
29,30,Dallas,0.00%,0.00%,0.00%,0.00%,0,57.14%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
30,30,Washington,0.00%,0.00%,0,0.00%,0,44.44%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
31,30,LA Chargers,0.00%,0.00%,0.00%,0.00%,0.00%,43.48%,2022-10-05,/nfl/stat/takeaway-fumble-recovery-pct
