,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,55.15%,57.40%,60.33%,54.35%,56.06%,51.22%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
1,2,Cincinnati,53.11%,54.19%,52.19%,55.48%,51.26%,51.17%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
2,3,San Francisco,53.09%,50.56%,57.06%,56.15%,49.65%,50.49%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
3,4,Cleveland,52.60%,47.94%,48.44%,53.88%,51.46%,51.34%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
4,5,Pittsburgh,52.17%,54.34%,51.56%,50.90%,53.29%,48.90%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
5,6,Green Bay,52.04%,54.62%,53.75%,54.31%,50.02%,54.38%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
6,7,Baltimore,51.94%,45.40%,47.81%,51.29%,52.52%,53.67%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
7,8,Philadelphia,50.92%,45.59%,52.39%,51.55%,50.20%,49.60%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
8,9,LA Chargers,50.77%,52.62%,48.25%,51.75%,49.90%,48.92%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
9,10,NY Giants,50.34%,49.66%,47.61%,50.09%,50.61%,47.35%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
10,11,Las Vegas,50.29%,50.68%,57.03%,52.31%,48.48%,49.31%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
11,12,Detroit,49.87%,49.03%,46.25%,49.49%,50.31%,48.08%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
12,13,Arizona,49.73%,44.69%,42.94%,48.38%,50.93%,51.44%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
13,14,Indianapolis,49.65%,49.10%,56.47%,50.39%,48.98%,53.17%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
14,15,LA Rams,49.59%,52.09%,48.42%,51.88%,47.02%,49.95%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
15,16,Jacksonville,49.54%,48.98%,39.67%,48.18%,50.49%,45.60%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
16,17,Buffalo,49.50%,47.81%,45.64%,46.61%,51.75%,52.35%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
17,18,Kansas City,49.48%,43.14%,42.97%,48.80%,50.09%,51.42%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
18,19,Atlanta,49.44%,55.53%,58.03%,50.50%,48.26%,46.94%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
19,20,Denver,49.29%,48.65%,51.75%,52.44%,46.48%,51.34%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
20,21,New Orleans,49.20%,52.99%,48.47%,51.34%,47.29%,51.04%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
21,22,Chicago,49.19%,43.82%,39.00%,49.32%,49.04%,50.55%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
22,23,Tennessee,48.98%,49.84%,60.33%,47.26%,50.51%,53.86%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
23,24,Miami,48.89%,54.01%,59.03%,50.66%,47.32%,50.50%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
24,25,Dallas,48.83%,49.74%,39.67%,47.22%,50.64%,50.20%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
25,26,Minnesota,48.74%,51.84%,61.00%,49.64%,47.73%,48.53%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
26,27,Tampa Bay,48.51%,50.70%,41.97%,46.69%,50.13%,50.33%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
27,28,New England,48.48%,45.56%,54.36%,46.15%,50.56%,50.68%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
28,29,NY Jets,47.90%,42.27%,40.97%,48.52%,47.35%,45.87%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
29,30,Seattle,47.80%,55.34%,51.58%,46.83%,48.89%,42.15%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
30,31,Houston,47.72%,49.81%,43.53%,46.46%,48.85%,47.06%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
31,32,Carolina,47.41%,51.65%,51.53%,48.62%,46.06%,51.22%,2023-01-11,/nfl/stat/time-of-possession-pct-net-of-ot
