,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Baltimore,4.3,4.3,5.0,5.0,4.0,2.4,2022-09-27,/nfl/stat/touchdowns-per-game
1,2,Detroit,4.0,4.0,3.0,4.5,3.0,2.1,2022-09-27,/nfl/stat/touchdowns-per-game
2,3,Miami,3.7,3.7,3.0,2.5,6.0,2.3,2022-09-27,/nfl/stat/touchdowns-per-game
3,3,Kansas City,3.7,3.7,2.0,3.0,4.0,3.6,2022-09-27,/nfl/stat/touchdowns-per-game
4,3,Buffalo,3.7,3.7,2.0,5.0,3.0,3.6,2022-09-27,/nfl/stat/touchdowns-per-game
5,3,Philadelphia,3.7,3.7,3.0,3.0,4.0,2.9,2022-09-27,/nfl/stat/touchdowns-per-game
6,7,Cleveland,3.3,3.3,4.0,4.0,2.0,2.5,2022-09-27,/nfl/stat/touchdowns-per-game
7,8,Washington,3.0,3.0,1.0,2.5,4.0,2.2,2022-09-27,/nfl/stat/touchdowns-per-game
8,8,Jacksonville,3.0,3.0,4.0,3.0,3.0,1.6,2022-09-27,/nfl/stat/touchdowns-per-game
9,10,Atlanta,2.7,2.7,3.0,2.0,3.0,1.9,2022-09-27,/nfl/stat/touchdowns-per-game
10,11,Arizona,2.3,2.3,0.0,1.5,4.0,2.9,2022-09-27,/nfl/stat/touchdowns-per-game
11,11,LA Chargers,2.3,2.3,1.0,2.0,3.0,3.4,2022-09-27,/nfl/stat/touchdowns-per-game
12,11,LA Rams,2.3,2.3,2.0,2.5,2.0,3.0,2022-09-27,/nfl/stat/touchdowns-per-game
13,11,Minnesota,2.3,2.3,4.0,3.0,1.0,2.8,2022-09-27,/nfl/stat/touchdowns-per-game
14,15,New Orleans,2.0,2.0,2.0,1.0,2.5,2.5,2022-09-27,/nfl/stat/touchdowns-per-game
15,15,Las Vegas,2.0,2.0,2.0,2.0,2.0,2.1,2022-09-27,/nfl/stat/touchdowns-per-game
16,15,Chicago,2.0,2.0,2.0,2.5,1.0,1.9,2022-09-27,/nfl/stat/touchdowns-per-game
17,15,Tennessee,2.0,2.0,3.0,2.5,1.0,2.8,2022-09-27,/nfl/stat/touchdowns-per-game
18,15,New England,2.0,2.0,3.0,3.0,1.5,2.9,2022-09-27,/nfl/stat/touchdowns-per-game
19,15,Carolina,2.0,2.0,2.0,2.5,1.0,1.9,2022-09-27,/nfl/stat/touchdowns-per-game
20,15,Green Bay,2.0,2.0,2.0,3.0,1.5,3.1,2022-09-27,/nfl/stat/touchdowns-per-game
21,15,Cincinnati,2.0,2.0,3.0,2.0,2.0,2.9,2022-09-27,/nfl/stat/touchdowns-per-game
22,23,Pittsburgh,1.7,1.7,2.0,1.0,2.0,2.1,2022-09-27,/nfl/stat/touchdowns-per-game
23,23,San Francisco,1.7,1.7,1.0,3.0,1.0,2.8,2022-09-27,/nfl/stat/touchdowns-per-game
24,23,NY Jets,1.7,1.7,0.0,0.5,4.0,2.1,2022-09-27,/nfl/stat/touchdowns-per-game
25,23,NY Giants,1.7,1.7,1.0,1.0,3.0,1.4,2022-09-27,/nfl/stat/touchdowns-per-game
26,23,Seattle,1.7,1.7,2.0,2.0,1.0,2.9,2022-09-27,/nfl/stat/touchdowns-per-game
27,28,Dallas,1.3,1.3,2.0,1.0,2.0,3.7,2022-09-27,/nfl/stat/touchdowns-per-game
28,28,Houston,1.3,1.3,2.0,2.0,1.0,1.8,2022-09-27,/nfl/stat/touchdowns-per-game
29,28,Tampa Bay,1.3,1.3,1.0,1.0,1.5,3.7,2022-09-27,/nfl/stat/touchdowns-per-game
30,28,Indianapolis,1.3,1.3,2.0,2.0,1.0,3.1,2022-09-27,/nfl/stat/touchdowns-per-game
31,32,Denver,1.0,1.0,1.0,1.0,1.0,2.2,2022-09-27,/nfl/stat/touchdowns-per-game
