,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,100.00%,0,0,0,100.00%,33.33%,2022-12-14,/nfl/stat/two-point-conversion-pct
1,1,Pittsburgh,100.00%,100.00%,0,100.00%,100.00%,40.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
2,1,Detroit,100.00%,100.00%,0,100.00%,0,60.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
3,1,Tennessee,100.00%,100.00%,100.00%,100.00%,0,66.67%,2022-12-14,/nfl/stat/two-point-conversion-pct
4,1,LA Chargers,100.00%,100.00%,0,0,100.00%,63.64%,2022-12-14,/nfl/stat/two-point-conversion-pct
5,1,Baltimore,100.00%,100.00%,0,0,100.00%,25.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
6,7,New Orleans,75.00%,0,0,100.00%,66.67%,0.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
7,8,Kansas City,66.67%,0,0,50.00%,100.00%,66.67%,2022-12-14,/nfl/stat/two-point-conversion-pct
8,8,Green Bay,66.67%,100.00%,100.00%,100.00%,50.00%,33.33%,2022-12-14,/nfl/stat/two-point-conversion-pct
9,8,Cincinnati,66.67%,0,0,100.00%,50.00%,33.33%,2022-12-14,/nfl/stat/two-point-conversion-pct
10,8,Minnesota,66.67%,0.00%,0.00%,100.00%,50.00%,14.29%,2022-12-14,/nfl/stat/two-point-conversion-pct
11,12,Arizona,62.50%,0,0,75.00%,50.00%,25.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
12,13,Jacksonville,57.14%,66.67%,0.00%,100.00%,40.00%,20.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
13,14,NY Giants,50.00%,100.00%,100.00%,50.00%,50.00%,80.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
14,15,Washington,33.33%,0,0,33.33%,33.33%,25.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
15,15,Cleveland,33.33%,0,0,50.00%,0.00%,75.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
16,15,Philadelphia,33.33%,0,0,0.00%,100.00%,85.71%,2022-12-14,/nfl/stat/two-point-conversion-pct
17,18,Chicago,25.00%,0,0,100.00%,0.00%,75.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
18,18,Tampa Bay,25.00%,0,0,33.33%,0.00%,33.33%,2022-12-14,/nfl/stat/two-point-conversion-pct
19,18,Carolina,25.00%,0,0,0.00%,100.00%,75.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
20,21,Indianapolis,20.00%,0.00%,0.00%,50.00%,0.00%,33.33%,2022-12-14,/nfl/stat/two-point-conversion-pct
21,22,Dallas,0.00%,0.00%,0,0.00%,0.00%,60.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
22,22,Las Vegas,0.00%,0,0,0.00%,0.00%,0.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
23,22,Miami,0.00%,0,0,0.00%,0,66.67%,2022-12-14,/nfl/stat/two-point-conversion-pct
24,22,Houston,0.00%,0.00%,0,0.00%,0.00%,100.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
25,22,New England,0.00%,0,0,0.00%,0,75.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
26,22,Denver,0.00%,0,0,0.00%,0,33.33%,2022-12-14,/nfl/stat/two-point-conversion-pct
27,22,Buffalo,0.00%,0,0,0,0.00%,57.14%,2022-12-14,/nfl/stat/two-point-conversion-pct
28,22,Seattle,0.00%,0,0,0,0.00%,66.67%,2022-12-14,/nfl/stat/two-point-conversion-pct
29,30,San Francisco,0,0,0,0,0,100.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
30,30,NY Jets,0,0,0,0,0,44.44%,2022-12-14,/nfl/stat/two-point-conversion-pct
31,30,LA Rams,0,0,0,0,0,50.00%,2022-12-14,/nfl/stat/two-point-conversion-pct
