,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,8.5,7.7,10.3,9.0,8.0,7.2,2022-11-02,/nfl/stat/yards-per-pass-attempt
1,2,Miami,8.4,9.0,10.6,8.4,8.4,6.4,2022-11-02,/nfl/stat/yards-per-pass-attempt
2,3,Buffalo,8.1,9.7,8.7,9.6,7.3,7.1,2022-11-02,/nfl/stat/yards-per-pass-attempt
3,4,Kansas City,8.1,8.8,11.8,7.3,8.7,7.5,2022-11-02,/nfl/stat/yards-per-pass-attempt
4,5,Atlanta,8.0,9.2,9.0,7.8,8.3,7.0,2022-11-02,/nfl/stat/yards-per-pass-attempt
5,6,San Francisco,7.9,8.3,10.3,8.2,7.7,8.5,2022-11-02,/nfl/stat/yards-per-pass-attempt
6,7,Seattle,7.7,6.7,6.2,6.8,8.8,7.7,2022-11-02,/nfl/stat/yards-per-pass-attempt
7,8,Cincinnati,7.7,8.9,6.6,8.9,6.8,8.5,2022-11-02,/nfl/stat/yards-per-pass-attempt
8,9,New England,7.7,7.2,5.5,8.7,7.1,7.6,2022-11-02,/nfl/stat/yards-per-pass-attempt
9,10,Detroit,7.6,7.9,8.7,7.9,7.2,6.5,2022-11-02,/nfl/stat/yards-per-pass-attempt
10,11,Chicago,7.5,7.3,6.5,6.8,7.9,6.7,2022-11-02,/nfl/stat/yards-per-pass-attempt
11,12,New Orleans,7.5,7.1,7.5,6.5,8.3,6.8,2022-11-02,/nfl/stat/yards-per-pass-attempt
12,13,Cleveland,7.3,8.4,12.1,7.6,6.7,7.0,2022-11-02,/nfl/stat/yards-per-pass-attempt
13,14,Tennessee,7.2,6.7,5.5,8.3,6.2,7.1,2022-11-02,/nfl/stat/yards-per-pass-attempt
14,15,Denver,7.0,6.4,8.4,6.1,8.1,7.1,2022-11-02,/nfl/stat/yards-per-pass-attempt
15,16,Baltimore,7.0,6.6,6.3,7.1,6.8,7.0,2022-11-02,/nfl/stat/yards-per-pass-attempt
16,17,Indianapolis,6.9,6.7,8.7,7.5,6.3,6.9,2022-11-02,/nfl/stat/yards-per-pass-attempt
17,18,Carolina,6.9,7.8,8.8,6.9,6.8,6.0,2022-11-02,/nfl/stat/yards-per-pass-attempt
18,19,LA Rams,6.8,6.9,5.7,6.8,6.9,8.2,2022-11-02,/nfl/stat/yards-per-pass-attempt
19,20,Dallas,6.8,7.1,9.3,7.3,5.9,7.6,2022-11-02,/nfl/stat/yards-per-pass-attempt
20,21,Las Vegas,6.8,6.8,4.4,6.8,6.7,7.5,2022-11-02,/nfl/stat/yards-per-pass-attempt
21,22,Tampa Bay,6.7,6.5,7.4,7.0,6.2,7.3,2022-11-02,/nfl/stat/yards-per-pass-attempt
22,23,Minnesota,6.7,6.7,6.4,7.2,5.9,7.4,2022-11-02,/nfl/stat/yards-per-pass-attempt
23,24,Washington,6.7,6.7,9.0,7.0,6.3,6.8,2022-11-02,/nfl/stat/yards-per-pass-attempt
24,25,Jacksonville,6.6,6.3,4.3,6.9,6.4,6.1,2022-11-02,/nfl/stat/yards-per-pass-attempt
25,26,Green Bay,6.6,5.9,6.8,7.0,6.4,7.6,2022-11-02,/nfl/stat/yards-per-pass-attempt
26,27,NY Jets,6.6,6.9,8.7,6.7,6.4,6.6,2022-11-02,/nfl/stat/yards-per-pass-attempt
27,28,LA Chargers,6.5,5.3,5.7,5.9,7.5,7.4,2022-11-02,/nfl/stat/yards-per-pass-attempt
28,29,Houston,6.3,6.3,5.1,6.3,6.4,6.6,2022-11-02,/nfl/stat/yards-per-pass-attempt
29,30,NY Giants,6.3,6.3,5.7,5.5,7.2,5.8,2022-11-02,/nfl/stat/yards-per-pass-attempt
30,31,Arizona,6.1,6.8,7.4,5.8,6.4,7.6,2022-11-02,/nfl/stat/yards-per-pass-attempt
31,32,Pittsburgh,6.0,5.8,4.9,6.6,5.7,6.0,2022-11-02,/nfl/stat/yards-per-pass-attempt
