,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,6.6,7.6,6.8,7.7,6.0,5.9,2022-11-02,/nfl/stat/yards-per-play
1,2,Kansas City,6.3,6.8,9.1,5.8,6.7,6.1,2022-11-02,/nfl/stat/yards-per-play
2,3,Miami,6.2,6.6,7.4,5.8,6.7,4.8,2022-11-02,/nfl/stat/yards-per-play
3,4,Detroit,6.2,5.7,6.9,6.9,5.3,5.2,2022-11-02,/nfl/stat/yards-per-play
4,5,New Orleans,6.0,6.1,5.8,5.5,6.6,4.9,2022-11-02,/nfl/stat/yards-per-play
5,6,Seattle,6.0,5.1,4.5,5.1,7.1,5.8,2022-11-02,/nfl/stat/yards-per-play
6,7,San Francisco,5.9,6.4,7.1,6.0,5.9,6.0,2022-11-02,/nfl/stat/yards-per-play
7,8,Baltimore,5.9,5.7,6.1,5.6,6.3,5.4,2022-11-02,/nfl/stat/yards-per-play
8,9,Philadelphia,5.8,5.3,7.6,5.8,5.7,5.7,2022-11-02,/nfl/stat/yards-per-play
9,10,Cleveland,5.7,5.8,6.4,5.9,5.4,5.5,2022-11-02,/nfl/stat/yards-per-play
10,11,Jacksonville,5.7,6.0,4.7,5.9,5.5,5.0,2022-11-02,/nfl/stat/yards-per-play
11,12,Las Vegas,5.6,5.8,3.3,5.8,5.5,5.7,2022-11-02,/nfl/stat/yards-per-play
12,13,Atlanta,5.5,5.4,6.1,5.8,5.2,5.1,2022-11-02,/nfl/stat/yards-per-play
13,14,New England,5.5,5.0,3.8,6.4,5.0,5.7,2022-11-02,/nfl/stat/yards-per-play
14,15,Green Bay,5.4,5.1,6.3,5.5,5.4,5.8,2022-11-02,/nfl/stat/yards-per-play
15,16,Dallas,5.4,6.0,7.8,5.5,5.3,5.9,2022-11-02,/nfl/stat/yards-per-play
16,17,Minnesota,5.4,5.4,5.6,5.8,4.8,5.7,2022-11-02,/nfl/stat/yards-per-play
17,18,Cincinnati,5.4,6.6,4.6,6.0,4.9,5.7,2022-11-02,/nfl/stat/yards-per-play
18,19,Carolina,5.3,6.1,6.5,5.2,5.6,4.6,2022-11-02,/nfl/stat/yards-per-play
19,20,LA Chargers,5.3,4.9,4.8,4.7,6.1,5.9,2022-11-02,/nfl/stat/yards-per-play
20,21,NY Jets,5.3,5.6,6.7,5.3,5.4,5.0,2022-11-02,/nfl/stat/yards-per-play
21,22,Chicago,5.3,5.5,5.2,5.1,5.4,4.9,2022-11-02,/nfl/stat/yards-per-play
22,23,Denver,5.2,4.8,5.4,4.7,5.8,5.4,2022-11-02,/nfl/stat/yards-per-play
23,24,Tampa Bay,5.2,5.0,5.6,5.6,4.7,5.9,2022-11-02,/nfl/stat/yards-per-play
24,25,Indianapolis,5.1,5.5,6.0,5.3,4.8,5.6,2022-11-02,/nfl/stat/yards-per-play
25,26,Tennessee,5.0,4.8,6.1,5.7,4.6,5.2,2022-11-02,/nfl/stat/yards-per-play
26,27,NY Giants,5.0,4.6,3.5,4.5,5.5,4.7,2022-11-02,/nfl/stat/yards-per-play
27,28,Washington,5.0,5.1,5.9,5.0,4.9,5.1,2022-11-02,/nfl/stat/yards-per-play
28,29,Houston,4.9,4.7,3.2,4.7,5.1,4.7,2022-11-02,/nfl/stat/yards-per-play
29,30,Arizona,4.9,5.1,5.4,4.9,5.0,5.5,2022-11-02,/nfl/stat/yards-per-play
30,31,LA Rams,4.8,5.0,4.0,4.8,5.0,5.9,2022-11-02,/nfl/stat/yards-per-play
31,32,Pittsburgh,4.7,4.6,4.3,4.5,4.8,4.8,2022-11-02,/nfl/stat/yards-per-play
