,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,12.7,12.1,10.5,12.1,13.5,13.2,2022-12-28,/nfl/stat/yards-per-point
1,2,Philadelphia,13.4,12.1,13.0,13.2,13.6,14.1,2022-12-28,/nfl/stat/yards-per-point
2,3,Minnesota,14.1,14.5,13.1,13.5,15.1,14.5,2022-12-28,/nfl/stat/yards-per-point
3,4,Cincinnati,14.1,13.2,20.1,14.9,13.4,13.5,2022-12-28,/nfl/stat/yards-per-point
4,5,Seattle,14.3,19.1,33.3,13.9,14.6,13.9,2022-12-28,/nfl/stat/yards-per-point
5,6,Buffalo,14.4,12.7,12.2,13.3,15.2,13.1,2022-12-28,/nfl/stat/yards-per-point
6,7,Detroit,14.4,15.6,16.6,12.5,18.0,16.9,2022-12-28,/nfl/stat/yards-per-point
7,8,Kansas City,14.4,14.0,12.4,16.1,13.3,13.9,2022-12-28,/nfl/stat/yards-per-point
8,9,San Francisco,14.5,12.4,10.0,13.9,15.4,15.0,2022-12-28,/nfl/stat/yards-per-point
9,10,Carolina,14.7,13.3,15.4,14.5,15.1,16.7,2022-12-28,/nfl/stat/yards-per-point
10,11,New England,15.0,13.5,15.8,15.8,14.4,13.2,2022-12-28,/nfl/stat/yards-per-point
11,12,Las Vegas,15.0,14.5,20.1,12.5,17.3,16.7,2022-12-28,/nfl/stat/yards-per-point
12,13,LA Rams,15.0,10.3,7.6,13.9,17.8,13.8,2022-12-28,/nfl/stat/yards-per-point
13,14,Atlanta,15.0,22.2,36.3,13.5,17.0,16.5,2022-12-28,/nfl/stat/yards-per-point
14,15,Miami,15.2,15.2,18.8,15.8,14.8,15.3,2022-12-28,/nfl/stat/yards-per-point
15,16,Jacksonville,15.6,13.6,19.2,17.2,14.6,20.5,2022-12-28,/nfl/stat/yards-per-point
16,17,Chicago,15.7,16.7,16.1,16.0,15.3,16.8,2022-12-28,/nfl/stat/yards-per-point
17,18,Arizona,15.9,20.2,20.3,15.7,16.1,14.2,2022-12-28,/nfl/stat/yards-per-point
18,19,Baltimore,16.0,25.9,17.6,16.0,16.0,16.6,2022-12-28,/nfl/stat/yards-per-point
19,20,LA Chargers,16.0,18.5,15.7,17.2,15.2,14.0,2022-12-28,/nfl/stat/yards-per-point
20,21,NY Giants,16.1,15.7,18.5,15.8,16.4,18.9,2022-12-28,/nfl/stat/yards-per-point
21,22,Tennessee,16.4,18.4,19.4,17.1,15.7,14.2,2022-12-28,/nfl/stat/yards-per-point
22,23,Green Bay,16.4,12.9,11.6,15.9,16.8,14.1,2022-12-28,/nfl/stat/yards-per-point
23,24,Houston,16.5,12.6,15.0,14.8,18.0,16.9,2022-12-28,/nfl/stat/yards-per-point
24,25,Cleveland,16.5,26.5,24.9,16.1,17.0,16.6,2022-12-28,/nfl/stat/yards-per-point
25,26,New Orleans,16.7,16.5,14.4,15.2,18.4,14.2,2022-12-28,/nfl/stat/yards-per-point
26,27,NY Jets,17.4,27.3,75.7,18.5,16.2,16.8,2022-12-28,/nfl/stat/yards-per-point
27,28,Washington,17.7,22.1,17.5,18.9,16.8,16.4,2022-12-28,/nfl/stat/yards-per-point
28,29,Pittsburgh,18.2,19.7,26.9,16.9,19.4,15.4,2022-12-28,/nfl/stat/yards-per-point
29,30,Indianapolis,18.7,14.2,57.7,17.3,20.2,13.1,2022-12-28,/nfl/stat/yards-per-point
30,31,Tampa Bay,19.5,22.7,20.8,17.6,21.7,13.4,2022-12-28,/nfl/stat/yards-per-point
31,32,Denver,20.5,14.7,23.1,20.1,20.8,16.8,2022-12-28,/nfl/stat/yards-per-point
