,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Jacksonville,6.9,12.3,3.4,0,3.9,-7.4,2022-10-05,/nfl/stat/yards-per-point-margin
1,2,Baltimore,4.9,2.3,-0.6,0.2,12.7,-0.9,2022-10-05,/nfl/stat/yards-per-point-margin
2,3,Minnesota,3.7,1.4,1.2,9.3,-0.6,0.8,2022-10-05,/nfl/stat/yards-per-point-margin
3,4,Cincinnati,3.5,8.7,11.5,-0.1,7.5,2.6,2022-10-05,/nfl/stat/yards-per-point-margin
4,5,Tampa Bay,3.4,1.4,-2.0,-2.1,26.9,2.7,2022-10-05,/nfl/stat/yards-per-point-margin
5,6,Miami,3.0,1.4,-11.5,16.9,-3.2,0.1,2022-10-05,/nfl/stat/yards-per-point-margin
6,7,Carolina,2.8,2.8,-0.8,4.5,-3.2,-3.8,2022-10-05,/nfl/stat/yards-per-point-margin
7,8,Dallas,2.3,5.8,18.5,1.6,4.0,3.3,2022-10-05,/nfl/stat/yards-per-point-margin
8,9,San Francisco,2.1,11.3,14.9,15.8,-14.4,0.1,2022-10-05,/nfl/stat/yards-per-point-margin
9,10,Pittsburgh,2.0,-0.9,-0.4,1.8,2.1,-0.4,2022-10-05,/nfl/stat/yards-per-point-margin
10,11,Kansas City,1.8,1.4,2.0,4.9,0.8,2.5,2022-10-05,/nfl/stat/yards-per-point-margin
11,12,Atlanta,1.7,2.9,5.7,1.5,2.0,-3.0,2022-10-05,/nfl/stat/yards-per-point-margin
12,13,Buffalo,1.7,-0.4,0.6,16.6,-2.2,2.7,2022-10-05,/nfl/stat/yards-per-point-margin
13,14,NY Giants,1.2,2.0,8.7,2.0,-0.8,-4.4,2022-10-05,/nfl/stat/yards-per-point-margin
14,15,Houston,1.2,-1.6,-2.1,2.7,-1.1,-2.4,2022-10-05,/nfl/stat/yards-per-point-margin
15,16,Chicago,1.1,-3.8,-8.7,8.5,-8.3,-3.6,2022-10-05,/nfl/stat/yards-per-point-margin
16,17,Philadelphia,0.5,3.4,-3.4,0.5,0.8,0.2,2022-10-05,/nfl/stat/yards-per-point-margin
17,18,Tennessee,0.2,0.3,11.3,2.0,-0.4,1.8,2022-10-05,/nfl/stat/yards-per-point-margin
18,19,Detroit,0.1,-0.1,0.0,1.0,-4.0,-3.0,2022-10-05,/nfl/stat/yards-per-point-margin
19,20,Seattle,-0.3,-2.4,0.0,2.2,-1.6,3.7,2022-10-05,/nfl/stat/yards-per-point-margin
20,21,Las Vegas,-0.6,-0.2,1.0,0.8,-2.5,-3.7,2022-10-05,/nfl/stat/yards-per-point-margin
21,22,Cleveland,-0.9,-0.3,-5.7,1.6,-3.8,-2.3,2022-10-05,/nfl/stat/yards-per-point-margin
22,23,LA Rams,-2.3,-0.4,-14.9,-2.5,-1.3,1.8,2022-10-05,/nfl/stat/yards-per-point-margin
23,24,Arizona,-2.6,-1.7,0.8,-6.7,0.3,0.7,2022-10-05,/nfl/stat/yards-per-point-margin
24,25,Green Bay,-3.0,-0.2,-5.1,-1.2,-11.7,1.0,2022-10-05,/nfl/stat/yards-per-point-margin
25,26,LA Chargers,-3.2,-4.5,2.1,-6.8,-1.1,-0.7,2022-10-05,/nfl/stat/yards-per-point-margin
26,27,Denver,-3.6,-0.8,-1.0,3.7,-5.7,0.4,2022-10-05,/nfl/stat/yards-per-point-margin
27,28,Washington,-4.2,-7.7,-18.5,-0.5,-7.2,-2.4,2022-10-05,/nfl/stat/yards-per-point-margin
28,29,New England,-4.3,-2.5,5.1,-6.5,-2.8,3.3,2022-10-05,/nfl/stat/yards-per-point-margin
29,30,New Orleans,-5.5,-9.1,-1.2,-17.8,-3.6,1.9,2022-10-05,/nfl/stat/yards-per-point-margin
30,31,NY Jets,-6.3,-2.7,0.4,-21.9,0.4,-3.4,2022-10-05,/nfl/stat/yards-per-point-margin
31,32,Indianapolis,-9.9,-9.1,-11.3,-3.3,-22.4,2.9,2022-10-05,/nfl/stat/yards-per-point-margin
