,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,New Orleans,L 26-27,Home,0-1,0-1,5.5,Ov 43.5,+195,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
1,09/18,LA Rams,L 27-31,Away,0-2,0-1,10.5,Ov 46.0,+395,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
2,09/25,Seattle,W 27-23,Away,1-2,0-1,1.0,Ov 43.5,-104,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
3,10/02,Cleveland,1:00 pm,Home,,,2.0,49.5,+110,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
4,10/09,Tampa Bay,1:00 pm,Away,,,8.5,47.5,+330,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
5,10/16,San Francisco,1:00 pm,Home,,,7.0,0,+220,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
6,10/23,Cincinnati,1:00 pm,Away,,,7.5,0,+420,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
7,10/30,Carolina,1:00 pm,Home,,,1.0,0,+105,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
8,11/06,LA Chargers,1:00 pm,Home,,,7.0,0,+290,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
9,11/10,Carolina,8:15 pm,Away,,,5.5,0,0,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
10,11/20,Chicago,1:00 pm,Home,,,-1.5,0,-110,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
11,11/27,Washington,1:00 pm,Away,,,4.5,0,+180,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
12,12/04,Pittsburgh,1:00 pm,Home,,,1.5,0,+120,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
13,12/18,New Orleans,12:00 pm,Away,,,8.0,0,+255,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
14,12/24,Baltimore,1:00 pm,Away,,,8.5,0,+350,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
15,01/01,Arizona,1:00 pm,Home,,,3.5,0,+150,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
16,01/08,Tampa Bay,12:00 pm,Home,,,7.5,0,+290,2022-09-27 19:21:58.966104,/nfl/team/atlanta-falcons/
