,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/08,LA Rams,W 31-10,Away,1-0,0-0,-2.0,Un 51.5,-127,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
1,09/19,Tennessee,W 41-7,Home,2-0,0-0,-10.0,Ov 47.5,-460,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
2,09/25,Miami,L 19-21,Away,2-1,0-1,-4.0,Un 54.5,-200,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
3,10/02,Baltimore,W 23-20,Away,3-1,0-1,-3.0,Un 50.5,-175,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
4,10/09,Pittsburgh,W 38-3,Home,4-1,0-1,-14.0,Un 44.5,-900,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
5,10/16,Kansas City,W 24-20,Away,5-1,0-1,-2.5,Un 54.0,-150,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
6,10/30,Green Bay,W 27-17,Home,6-1,0-1,-10.5,Un 47.0,-465,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
7,11/06,NY Jets,L 17-20,Away,6-2,0-2,-10.5,Un 46.0,-550,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
8,11/13,Minnesota,L 30-33,Home,6-3,0-2,-6.5,Ov 46.5,-265,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
9,11/20,Cleveland,W 31-23,Neutral,7-3,0-2,-7.5,Ov 50.5,-370,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
10,11/24,Detroit,W 28-25,Away,8-3,0-2,-9.5,Un 54.0,-416,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
11,12/01,New England,W 24-10,Away,9-3,1-2,-4.0,Un 44.0,-207,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
12,12/11,NY Jets,W 20-12,Home,10-3,2-2,-10.0,Un 43.5,-395,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
13,12/17,Miami,W 32-29,Home,11-3,3-2,-7.0,Ov 45.0,-320,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
14,12/24,Chicago,W 35-13,Away,12-3,3-2,-8.0,Ov 40.5,-350,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
15,01/02,Cincinnati,8:30 pm,Away,,,-1.0,49.5,-120,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
16,01/08,New England,12:00 pm,Home,,,-10.0,43.0,-460,2023-01-01 15:49:15.199736,/nfl/team/buffalo-bills/
