,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Indianapolis,T 20-20,Home,0-0-1,0-0-1,7.0,Un 46.0,253,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
1,09/18,Denver,L 9-16,Away,0-1-1,0-0-1,10.5,Un 45.5,410,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
2,09/25,Chicago,L 20-23,Away,0-2-1,0-0-1,3.0,Ov 39.5,145,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
3,10/02,LA Chargers,L 24-34,Home,0-3-1,0-0-1,5.5,Ov 45.5,200,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
4,10/09,Jacksonville,W 13-6,Away,1-3-1,1-0-1,7.0,Un 43.5,267,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
5,10/23,Las Vegas,L 20-38,Away,1-4-1,1-0-1,7.0,Ov 46.0,268,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
6,10/30,Tennessee,L 10-17,Home,1-5-1,1-1-1,1.0,Un 39.5,100,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
7,11/03,Philadelphia,L 17-29,Home,1-6-1,1-1-1,14.0,Ov 45.0,580,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
8,11/13,NY Giants,L 16-24,Away,1-7-1,1-1-1,4.5,Un 41.5,190,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
9,11/20,Washington,L 10-23,Home,1-8-1,1-1-1,3.0,Un 41.0,132,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
10,11/27,Miami,L 15-30,Away,1-9-1,1-1-1,14.0,Un 47.5,605,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
11,12/04,Cleveland,L 14-27,Home,1-10-1,1-1-1,7.5,Un 46.0,280,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
12,12/11,Dallas,L 23-27,Away,1-11-1,1-1-1,17.0,Ov 44.5,894,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
13,12/18,Kansas City,L 24-30,Home,1-12-1,1-1-1,14.0,Ov 48.5,576,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
14,12/24,Tennessee,W 19-14,Away,2-12-1,2-1-1,3.0,Un 34.0,152,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
15,01/01,Jacksonville,L 3-31,Home,2-13-1,2-2-1,3.5,Un 43.5,172,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
16,01/08,Indianapolis,W 32-31,Away,3-13-1,3-2-1,3.0,Ov 37.5,130,2023-02-09 11:53:41.979534,/nfl/team/houston-texans/
