,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Green Bay,W 23-7,Home,1-0,1-0,-2.0,Un 46.5,-132,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
1,09/19,Philadelphia,L 7-24,Away,1-1,1-0,3.0,Un 49.5,125,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
2,09/25,Detroit,W 28-24,Home,2-1,2-0,-6.5,Ov 51.5,-275,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
3,10/02,New Orleans,W 28-25,Neutral,3-1,2-0,-4.0,Ov 42.0,-210,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
4,10/09,Chicago,W 29-22,Home,4-1,3-0,-8.5,Ov 43.5,-380,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
5,10/16,Miami,W 24-16,Away,5-1,3-0,-3.0,Un 45.0,-170,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
6,10/30,Arizona,W 34-26,Home,6-1,3-0,-4.0,Ov 48.5,-205,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
7,11/06,Washington,W 20-17,Away,7-1,3-0,-3.0,Un 43.0,-165,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
8,11/13,Buffalo,W 33-30,Away,8-1,3-0,6.5,Ov 46.5,225,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
9,11/20,Dallas,L 3-40,Home,8-2,3-0,2.0,Un 48.5,110,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
10,11/24,New England,W 33-26,Home,9-2,3-0,-2.5,Ov 42.0,-136,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
11,12/04,NY Jets,W 27-22,Home,10-2,3-0,-3.0,Ov 44.0,-148,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
12,12/11,Detroit,L 23-34,Away,10-3,3-1,2.5,Ov 51.0,119,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
13,12/17,Indianapolis,W 39-36,Home,11-3,3-1,-3.5,Ov 47.0,-185,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
14,12/24,NY Giants,W 27-24,Home,12-3,3-1,-4.5,Ov 48.0,-218,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
15,01/01,Green Bay,L 17-41,Away,12-4,3-2,3.5,Ov 47.5,169,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
16,01/08,Chicago,W 29-13,Away,13-4,4-2,-6.5,Un 42.5,-280,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
17,01/15,NY Giants,L 24-31,Home,13-5,4-2,-2.5,Ov 48.0,-142,2023-02-09 11:53:47.051647,/nfl/team/minnesota-vikings/
