,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Miami,L 7-20,Away,0-1,0-1,3.0,Un 46.5,140,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
1,09/18,Pittsburgh,W 17-14,Away,1-1,0-1,-3.0,Un 40.0,-161,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
2,09/25,Baltimore,L 26-37,Home,1-2,0-1,2.5,Ov 45.0,120,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
3,10/02,Green Bay,L 24-27,Away,1-3,0-1,9.5,Ov 40.5,350,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
4,10/09,Detroit,W 29-0,Home,2-3,0-1,-3.0,Un 47.0,-160,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
5,10/16,Cleveland,W 38-15,Away,3-3,0-1,2.5,Ov 43.5,125,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
6,10/24,Chicago,L 14-33,Home,3-4,0-1,-8.5,Ov 40.0,-400,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
7,10/30,NY Jets,W 22-17,Away,4-4,1-1,-3.0,Un 40.0,-165,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
8,11/06,Indianapolis,W 26-3,Home,5-4,1-1,-5.0,Un 40.0,-215,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
9,11/20,NY Jets,W 10-3,Home,6-4,2-1,-3.5,Un 38.0,-172,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
10,11/24,Minnesota,L 26-33,Away,6-5,2-1,2.5,Ov 42.0,123,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
11,12/01,Buffalo,L 10-24,Home,6-6,2-2,4.0,Un 44.0,177,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
12,12/12,Arizona,W 27-13,Away,7-6,2-2,-2.0,Un 44.0,-131,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
13,12/18,Las Vegas,L 24-30,Away,7-7,2-2,2.5,Ov 45.0,115,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
14,12/24,Cincinnati,L 18-22,Home,7-8,2-2,3.0,Un 41.5,135,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
15,01/01,Miami,W 23-21,Home,8-8,3-2,-3.0,Ov 41.5,-156,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
16,01/08,Buffalo,1:00 pm,Away,,,8.0,43.5,320,2023-01-08 14:30:29.276277,/nfl/team/new-england-patriots/
