,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Detroit,W 38-35,Away,1-0,0-0,-6.0,Ov 49.0,-250,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
1,09/19,Minnesota,W 24-7,Home,2-0,0-0,-3.0,Un 49.5,-145,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
2,09/25,Washington,1:00 pm,Away,,,-6.5,47.0,-259,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
3,10/02,Jacksonville,1:00 pm,Home,,,-7.0,48.5,-330,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
4,10/09,Arizona,4:25 pm,Away,,,1.0,0,110,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
5,10/16,Dallas,8:20 pm,Home,,,-3.0,0,-110,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
6,10/30,Pittsburgh,1:00 pm,Home,,,-4.5,0,-180,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
7,11/03,Houston,8:15 pm,Away,,,-4.5,0,-215,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
8,11/14,Washington,8:15 pm,Home,,,-4.0,0,-170,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
9,11/20,Indianapolis,1:00 pm,Away,,,2.5,0,125,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
10,11/27,Green Bay,8:20 pm,Home,,,1.5,0,-110,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
11,12/04,Tennessee,1:00 pm,Home,,,-1.5,0,-135,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
12,12/11,NY Giants,1:00 pm,Away,,,-1.5,0,-125,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
13,12/18,Chicago,1:00 pm,Away,,,-4.0,0,-200,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
14,12/24,Dallas,4:25 pm,Away,,,3.5,0,150,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
15,01/01,New Orleans,1:00 pm,Home,,,-3.0,0,-150,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
16,01/08,NY Giants,12:00 pm,Home,,,-5.0,0,-225,2022-09-22 18:18:41.211887,/nfl/team/philadelphia-eagles/
