,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Cincinnati,W 23-20,Away,1-0,1-0,7.0,Un 45.0,266,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
1,09/18,New England,L 14-17,Home,1-1,1-0,3.0,Un 40.0,141,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
2,09/22,Cleveland,L 17-29,Away,1-2,1-1,4.5,Ov 38.0,177,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
3,10/02,NY Jets,L 20-24,Home,1-3,1-1,-3.0,Ov 41.0,-168,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
4,10/09,Buffalo,L 3-38,Away,1-4,1-1,14.0,Un 44.5,625,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
5,10/16,Tampa Bay,W 20-18,Home,2-4,1-1,9.5,Un 46.5,350,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
6,10/23,Miami,L 10-16,Away,2-5,1-1,7.0,Un 44.5,255,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
7,10/30,Philadelphia,L 13-35,Away,2-6,1-1,11.5,Ov 43.0,400,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
8,11/13,New Orleans,W 20-10,Home,3-6,1-1,-1.0,Un 39.5,-115,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
9,11/20,Cincinnati,L 30-37,Home,3-7,1-2,3.5,Ov 39.5,160,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
10,11/28,Indianapolis,W 24-17,Away,4-7,1-2,2.5,Ov 39.5,115,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
11,12/04,Atlanta,W 19-16,Away,5-7,1-2,-1.0,Un 43.0,-113,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
12,12/11,Baltimore,L 14-16,Home,5-8,1-3,-2.0,Un 36.5,-124,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
13,12/18,Carolina,W 24-16,Away,6-8,1-3,2.5,Ov 37.0,125,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
14,12/24,Las Vegas,W 13-10,Home,7-8,1-3,-2.5,Un 38.0,-138,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
15,01/01,Baltimore,W 16-13,Away,8-8,2-3,1.0,Un 35.5,103,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
16,01/08,Cleveland,W 28-14,Home,9-8,3-3,-2.5,Ov 40.0,-150,2023-02-09 11:53:50.835235,/nfl/team/pittsburgh-steelers/
